Model,Run,Iter,Dupli_effect,pearson,r_pval,spearman,rho_pval
ADS,Bm1,iter1,2,-0.010688490334734083,0.6328504854076716,-0.009469754367438592,0.672116506481639
ADS,Bm1,iter2,2,0.019661673854504513,0.37949236459113384,0.04038866059716515,0.07094280191015398
ADS,Bm1,iter3,2,-0.03648590784674326,0.10284339811003479,0.0030359842589960644,0.892067323030864
ADS,Bm3,iter1,2,0.5552470115976317,3.845458052906505e-162,0.4792809913202478,2.176340772849926e-115
ADS,Bm3,iter2,2,0.5494995948527267,3.580026944803563e-158,0.4787722646930662,4.098421996275633e-115
ADS,Bm3,iter3,2,0.5495178913576677,3.478354455942089e-158,0.4922369160592289,1.5070969536645307e-122
ADS,Bm4,iter1,2,0.6454240730233753,4.59775637090318e-236,0.5696343854085963,2.0043502621821366e-172
ADS,Bm4,iter2,2,0.6545706425835507,5.2827091095290634e-245,0.5891384042846011,3.3371647336945677e-187
ADS,Bm4,iter3,2,0.6211716469080157,8.734449587075497e-214,0.5687224211806052,9.309280818115456e-172
ADS,Bm8,iter1,2,0.8089406839007026,0.0,0.7518550939637735,0.0
ADS,Bm8,iter2,2,0.81795374540835,0.0,0.751570747892687,0.0
ADS,Bm8,iter3,2,0.8184073527554266,0.0,0.7625981956495488,0.0
ADS,Bm1,iter1,1.6,-0.0765662599733837,0.000610203628907958,-0.019716663429165854,0.37816066004599136
ADS,Bm1,iter2,1.6,-0.010229636939987088,0.6475206687316954,-0.0002624100656025164,0.9906426256585701
ADS,Bm1,iter3,1.6,-0.04553977411004306,0.0417118255574984,-0.0296845484211371,0.1845100616221684
ADS,Bm3,iter1,1.6,0.5522603095434566,4.54054724440643e-160,0.49354395188598793,2.7453645616854562e-123
ADS,Bm3,iter2,1.6,0.5602454213896114,1.1738691701062828e-165,0.4951443037860759,3.378400328662597e-124
ADS,Bm3,iter3,1.6,0.5028896294142331,1.1376463053862387e-128,0.4426340951585238,9.907190138160375e-97
ADS,Bm4,iter1,1.6,0.6409691064874227,8.061811744109505e-232,0.584538408634602,1.2576939601310826e-183
ADS,Bm4,iter2,1.6,0.6516244458643239,4.3282535120893576e-242,0.5791656577914144,1.6020688297111225e-179
ADS,Bm4,iter3,1.6,0.6443234788956247,5.21905326732085e-235,0.5861169610292403,7.565112668942656e-185
ADS,Bm8,iter1,1.6,0.8038183080484878,0.0,0.7471675372918843,0.0
ADS,Bm8,iter2,1.6,0.8258176003553831,0.0,0.756622956155739,0.0
ADS,Bm8,iter3,1.6,0.8180568371676753,0.0,0.7564064086016021,0.0
ADS,Bm1,iter1,1.86,0.016360226969589775,0.46463066925123336,0.021960806490201618,0.326286352300585
ADS,Bm1,iter2,1.86,0.03373414382124294,0.13152309464136497,0.030241455060363763,0.1764064574322852
ADS,Bm1,iter3,1.86,-0.015729465017658942,0.4820266009884699,-0.006514774628693656,0.7709209060720481
ADS,Bm3,iter1,1.86,0.5402454417918718,6.0859945369317175e-152,0.4625141731285433,1.436487022398903e-106
ADS,Bm3,iter2,1.86,0.5639232357920342,2.7829397214689505e-168,0.5022888760722191,2.5530616647355276e-128
ADS,Bm3,iter3,1.86,0.5319512958829107,1.6055989893685274e-146,0.48656143064035773,2.2512928335588052e-119
ADS,Bm4,iter1,1.86,0.6446912723864265,2.320087556525998e-235,0.5721443105360777,2.8547456796941216e-174
ADS,Bm4,iter2,1.86,0.6680684726109549,8.822954652224222e-259,0.5956084474021118,2.482598480375677e-192
ADS,Bm4,iter3,1.86,0.63897181647897,6.113238936280292e-230,0.5835416853854214,7.360935903088634e-183
ADS,Bm8,iter1,1.86,0.8050921104137421,0.0,0.7352504483126121,0.0
ADS,Bm8,iter2,1.86,0.8155474752131074,0.0,0.7591726207931552,0.0
ADS,Bm8,iter3,1.86,0.8004298133018316,0.0,0.7460595275148819,0.0
ADS,Bm1,iter1,2.25,-0.0075214965787677845,0.7367456792528446,-0.015942749485687368,0.4761050878149281
ADS,Bm1,iter2,2.25,0.060073101239671606,0.007203259041064638,0.05669027317256829,0.011221628756124591
ADS,Bm1,iter3,2.25,-0.023424082134416057,0.2950785740708143,-0.03877449969362492,0.08298620949205415
ADS,Bm3,iter1,2.25,0.5551166266074776,4.7407635823198705e-162,0.4848669597167399,1.9435898680504665e-118
ADS,Bm3,iter2,2.25,0.574053683941026,1.0970513508297309e-175,0.5100408225102055,6.6497320994180486e-133
ADS,Bm3,iter3,2.25,0.540905194959083,2.221073170197909e-152,0.4810108922527231,2.508961386664756e-116
ADS,Bm4,iter1,2.25,0.6489231269051363,1.9016252126873478e-239,0.5932842538210635,1.780708268892058e-190
ADS,Bm4,iter2,2.25,0.6576754606964301,4.138997921086056e-248,0.5972801423200356,1.1240154695210162e-193
ADS,Bm4,iter3,2.25,0.6469113723327349,1.697643365766857e-237,0.5534849793712447,6.4562469387897195e-161
ADS,Bm8,iter1,2.25,0.8052819930615549,0.0,0.7475732978933245,0.0
ADS,Bm8,iter2,2.25,0.8254392153121335,0.0,0.7714981778745444,0.0
ADS,Bm8,iter3,2.25,0.8216706950427455,0.0,0.7574162913540728,0.0
Mixed,Bm1,iter1,2,0.7467028194330856,0.0,0.8192521013130253,0.0
Mixed,Bm1,iter2,2,0.7741611373982022,0.0,0.847897128474282,0.0
Mixed,Bm1,iter3,2,0.7591722717810896,0.0,0.8351182907795727,0.0
Mixed,Bm3,iter1,2,0.8575503529531119,0.0,0.8772833943208486,0.0
Mixed,Bm3,iter2,2,0.8735107735571845,0.0,0.8922938440734609,0.0
Mixed,Bm3,iter3,2,0.8545928941109803,0.0,0.8702722545680636,0.0
Mixed,Bm4,iter1,2,0.8609910699620407,0.0,0.8694603238650809,0.0
Mixed,Bm4,iter2,2,0.8897153305787752,0.0,0.9006583201645801,0.0
Mixed,Bm4,iter3,2,0.8783968183496449,0.0,0.890772824193206,0.0
Mixed,Bm8,iter1,2,0.9026881912002154,0.0,0.892107940026985,0.0
Mixed,Bm8,iter2,2,0.9124652044639342,0.0,0.9103814770953692,0.0
Mixed,Bm8,iter3,2,0.9117866299952686,0.0,0.9052758268189566,0.0
Mixed,Bm1,iter1,1.6,0.7694692436389206,0.0,0.8412541638135409,0.0
Mixed,Bm1,iter2,1.6,0.7623481230451603,0.0,0.8506297181574295,0.0
Mixed,Bm1,iter3,1.6,0.7754531966129316,0.0,0.8476158754039688,0.0
Mixed,Bm3,iter1,1.6,0.8621831421313503,0.0,0.8733836588459147,0.0
Mixed,Bm3,iter2,1.6,0.8869186412200647,0.0,0.897516531879133,0.0
Mixed,Bm3,iter3,1.6,0.8748000815078181,0.0,0.8955398988849748,0.0
Mixed,Bm4,iter1,1.6,0.867931726816743,0.0,0.8773714158428538,0.0
Mixed,Bm4,iter2,1.6,0.9018052617213469,0.0,0.9031369552842388,0.0
Mixed,Bm4,iter3,1.6,0.8894498128153138,0.0,0.8927744291936073,0.0
Mixed,Bm8,iter1,1.6,0.9114108762082231,0.0,0.9061901505475376,0.0
Mixed,Bm8,iter2,1.6,0.9217663590774174,0.0,0.9126019891504974,0.0
Mixed,Bm8,iter3,1.6,0.9116968589280844,0.0,0.9070534817633703,0.0
Mixed,Bm1,iter1,1.86,0.7377946438983494,0.0,0.8313817748454437,0.0
Mixed,Bm1,iter2,1.86,0.7811367457913654,0.0,0.8445694916423728,0.0
Mixed,Bm1,iter3,1.86,0.765079425190436,0.0,0.8328871617217902,0.0
Mixed,Bm3,iter1,1.86,0.8438715678292474,0.0,0.860702108175527,0.0
Mixed,Bm3,iter2,1.86,0.8684019965974014,0.0,0.8919374934843735,0.0
Mixed,Bm3,iter3,1.86,0.8462188555572189,0.0,0.8691580227895056,0.0
Mixed,Bm4,iter1,1.86,0.8642653225986119,0.0,0.8729189872297467,0.0
Mixed,Bm4,iter2,1.86,0.8883725239811857,0.0,0.8934386308596577,0.0
Mixed,Bm4,iter3,1.86,0.8673637397394742,0.0,0.8795639948909987,0.0
Mixed,Bm8,iter1,1.86,0.9000159894012805,0.0,0.8939285039821259,0.0
Mixed,Bm8,iter2,1.86,0.9151375659731511,0.0,0.9092120048030011,0.0
Mixed,Bm8,iter3,1.86,0.9008654711826245,0.0,0.895914288478572,0.0
Mixed,Bm1,iter1,2.25,0.7351507386136932,0.0,0.8319920844980211,0.0
Mixed,Bm1,iter2,2.25,0.7842887790134967,0.0,0.850688836172209,0.0
Mixed,Bm1,iter3,2.25,0.7432106418151918,0.0,0.8339481539870384,0.0
Mixed,Bm3,iter1,2.25,0.8680000277120907,0.0,0.8843307845826961,0.0
Mixed,Bm3,iter2,2.25,0.8695435378143093,0.0,0.8919647424911857,0.0
Mixed,Bm3,iter3,2.25,0.8623141971550933,0.0,0.876647424161856,0.0
Mixed,Bm4,iter1,2.25,0.871012203691109,0.0,0.8730660022665006,0.0
Mixed,Bm4,iter2,2.25,0.8881969958705465,0.0,0.9069461102365274,0.0
Mixed,Bm4,iter3,2.25,0.8759703033993028,0.0,0.8850482017620505,0.0
Mixed,Bm8,iter1,2.25,0.906532874257794,0.0,0.9001636095409022,0.0
Mixed,Bm8,iter2,2.25,0.914321758750496,0.0,0.9112899703224926,0.0
Mixed,Bm8,iter3,2.25,0.9165359173315697,0.0,0.9170541897635472,0.0
Minimal,Bm1,iter1,2,0.03125651451766506,0.16232297955209626,0.0006508651627162907,0.976793305289674
Minimal,Bm1,iter2,2,0.026463386015681448,0.23683059988569424,0.01370266392566598,0.5402417888401612
Minimal,Bm1,iter3,2,-0.04708422185174817,0.03524591681148834,-0.005419405354851339,0.8086147865677922
Minimal,Bm3,iter1,2,0.5642797270628365,1.5427362460431574e-168,0.4854725293681323,9.008247881093726e-119
Minimal,Bm3,iter2,2,0.5593821773237482,4.797505759899764e-165,0.4954778573694643,2.180003595699322e-124
Minimal,Bm3,iter3,2,0.5496405152519169,2.8674431643924947e-158,0.48801795350448834,3.495429631923542e-120
Minimal,Bm4,iter1,2,0.6636459094346758,3.460419222808362e-254,0.5796576039144009,6.79172521137232e-180
Minimal,Bm4,iter2,2,0.6676893958219758,2.2001480193840377e-258,0.6091002652750663,2.0718841926077183e-203
Minimal,Bm4,iter3,2,0.6488600867021965,2.190169434133466e-239,0.5869202277300569,1.7990054444404524e-185
Minimal,Bm8,iter1,2,0.8163049739569561,0.0,0.7401972380493095,0.0
Minimal,Bm8,iter2,2,0.8223244321308973,0.0,0.7796450819112705,0.0
Minimal,Bm8,iter3,2,0.8277967498377281,0.0,0.7825543626385907,0.0
Minimal,Bm1,iter1,1.6,-0.0022539519080798705,0.919759315491059,0.02577350744337686,0.24928118842047095
Minimal,Bm1,iter2,1.6,-0.011148986954643558,0.6182714613825849,-0.006784501696125424,0.7617176801719425
Minimal,Bm1,iter3,1.6,-0.04231550188217226,0.05848150236222689,0.013245024311256078,0.5538565186518358
Minimal,Bm3,iter1,1.6,0.5586124241871082,1.6775675256679627e-164,0.5080577650144411,1.015799440539117e-131
Minimal,Bm3,iter2,1.6,0.5395067853571434,1.8762970033202283e-151,0.4909367292341823,8.14006002579244e-122
Minimal,Bm3,iter3,1.6,0.5088431720070636,3.457866682320461e-132,0.4637952364488091,3.1670820687168936e-107
Minimal,Bm4,iter1,1.6,0.6392429375535088,3.4034028078783813e-230,0.5798978289744573,4.464298775707407e-180
Minimal,Bm4,iter2,1.6,0.6397985900862749,1.0228527058867952e-230,0.5636685314171328,4.24003881952823e-168
Minimal,Bm4,iter3,1.6,0.6260021414577599,4.58051529519986e-218,0.5646312226578056,8.617151848927914e-169
Minimal,Bm8,iter1,1.6,0.8156778381828086,0.0,0.770783792195948,0.0
Minimal,Bm8,iter2,1.6,0.7958468488767363,0.0,0.7339929544982386,0.0
Minimal,Bm8,iter3,1.6,0.8126272986618266,0.0,0.7578180634545159,0.0
Minimal,Bm1,iter1,1.86,0.04551331336368786,0.04183081437937109,0.016128218532054633,0.4709883844483278
Minimal,Bm1,iter2,1.86,0.02935318967536797,0.18946055670576997,0.0215709683927421,0.33494961724792605
Minimal,Bm1,iter3,1.86,-0.028827715192712676,0.19751059793218745,-0.025437547859386962,0.25550714206635927
