,Model,Comparison,Run,Mut_sd,KS stats
0,ADS,SSD,Bm05,0.01,0.24929674796747966
1,ADS,SSD,Bm05,0.025,0.22350203252032516
2,ADS,SSD,Bm05,0.05,0.21555589430894306
3,ADS,SSD,Bm05,0.075,0.2249603658536585
4,ADS,SSD,Bm05,0.1,0.23598882113821137
5,ADS,SSD,Bm05,0.125,0.26372967479674797
6,ADS,SSD,Bm05,0.15,0.2903577235772357
7,ADS,SSD,Bm05,0.2,0.34424695121951215
8,ADS,SSD,Bm05,0.25,0.37005995934959346
9,ADS,SSD,Bm05,0.35,0.40452439024390235
10,ADS,SSD,Bm1,0.01,0.18870934959349586
11,ADS,SSD,Bm1,0.025,0.15987601626016254
12,ADS,SSD,Bm1,0.05,0.16063516260162594
13,ADS,SSD,Bm1,0.075,0.16726829268292678
14,ADS,SSD,Bm1,0.1,0.18599999999999997
15,ADS,SSD,Bm1,0.125,0.21645121951219504
16,ADS,SSD,Bm1,0.15,0.2570955284552845
17,ADS,SSD,Bm1,0.2,0.30596443089430886
18,ADS,SSD,Bm1,0.25,0.33313516260162596
19,ADS,SSD,Bm1,0.35,0.3483577235772357
20,ADS,SSD,Bm10,0.01,0.1937073170731707
21,ADS,SSD,Bm10,0.025,0.17183130081300813
22,ADS,SSD,Bm10,0.05,0.16968191056910564
23,ADS,SSD,Bm10,0.075,0.19330386178861783
24,ADS,SSD,Bm10,0.1,0.21809654471544712
25,ADS,SSD,Bm10,0.125,0.24974390243902436
26,ADS,SSD,Bm10,0.15,0.29219715447154465
27,ADS,SSD,Bm10,0.2,0.33390853658536584
28,ADS,SSD,Bm10,0.25,0.35045630081300816
29,ADS,SSD,Bm10,0.35,0.38770934959349584
30,ADS,SSD,Bm2,0.01,0.1418983739837398
31,ADS,SSD,Bm2,0.025,0.11952845528455282
32,ADS,SSD,Bm2,0.05,0.114155487804878
33,ADS,SSD,Bm2,0.075,0.1267002032520325
34,ADS,SSD,Bm2,0.1,0.13467276422764224
35,ADS,SSD,Bm2,0.125,0.1811544715447154
36,ADS,SSD,Bm2,0.15,0.23882215447154473
37,ADS,SSD,Bm2,0.2,0.32099288617886174
38,ADS,SSD,Bm2,0.25,0.34696239837398374
39,ADS,SSD,Bm2,0.35,0.38470833333333326
40,ADS,SSD,Bm3,0.01,0.1416310975609756
41,ADS,SSD,Bm3,0.025,0.11644512195121948
42,ADS,SSD,Bm3,0.05,0.10717784552845526
43,ADS,SSD,Bm3,0.075,0.12438414634146339
44,ADS,SSD,Bm3,0.1,0.1487052845528455
45,ADS,SSD,Bm3,0.125,0.18919004065040648
46,ADS,SSD,Bm3,0.15,0.2488892276422763
47,ADS,SSD,Bm3,0.2,0.31652540650406497
48,ADS,SSD,Bm3,0.25,0.366145325203252
49,ADS,SSD,Bm3,0.35,0.38999999999999996
50,ADS,SSD,Bm4,0.01,0.14531910569105688
51,ADS,SSD,Bm4,0.025,0.12043800813008125
52,ADS,SSD,Bm4,0.05,0.1203272357723577
53,ADS,SSD,Bm4,0.075,0.13699288617886177
54,ADS,SSD,Bm4,0.1,0.16794004065040646
55,ADS,SSD,Bm4,0.125,0.20119105691056904
56,ADS,SSD,Bm4,0.15,0.2527774390243902
57,ADS,SSD,Bm4,0.2,0.3130579268292682
58,ADS,SSD,Bm4,0.25,0.3644369918699187
59,ADS,SSD,Bm4,0.35,0.39058333333333334
60,ADS,SSD,Bm5,0.01,0.15231504065040646
61,ADS,SSD,Bm5,0.025,0.13471239837398372
62,ADS,SSD,Bm5,0.05,0.13374085365853655
63,ADS,SSD,Bm5,0.075,0.15087195121951216
64,ADS,SSD,Bm5,0.1,0.17969207317073166
65,ADS,SSD,Bm5,0.125,0.2162449186991869
66,ADS,SSD,Bm5,0.15,0.2591890243902439
67,ADS,SSD,Bm5,0.2,0.32059044715447155
68,ADS,SSD,Bm5,0.25,0.3637123983739838
69,ADS,SSD,Bm5,0.35,0.387
70,ADS,SSD,Bm6,0.01,0.1634176829268292
71,ADS,SSD,Bm6,0.025,0.14397764227642273
72,ADS,SSD,Bm6,0.05,0.14664939024390242
73,ADS,SSD,Bm6,0.075,0.15844613821138206
74,ADS,SSD,Bm6,0.1,0.19027337398373978
75,ADS,SSD,Bm6,0.125,0.22116260162601623
76,ADS,SSD,Bm6,0.15,0.2679888211382113
77,ADS,SSD,Bm6,0.2,0.3187876016260162
78,ADS,SSD,Bm6,0.25,0.3597205284552845
79,ADS,SSD,Bm6,0.35,0.3850416666666667
80,ADS,SSD,Bm7,0.01,0.1737815040650406
81,ADS,SSD,Bm7,0.025,0.15106707317073167
82,ADS,SSD,Bm7,0.05,0.15661788617886174
83,ADS,SSD,Bm7,0.075,0.17188008130081298
84,ADS,SSD,Bm7,0.1,0.19771443089430893
85,ADS,SSD,Bm7,0.125,0.23716869918699188
86,ADS,SSD,Bm7,0.15,0.2769878048780488
87,ADS,SSD,Bm7,0.2,0.32345731707317066
88,ADS,SSD,Bm7,0.25,0.35741260162601624
89,ADS,SSD,Bm7,0.35,0.38595833333333335
90,ADS,SSD,Bm8,0.01,0.17880284552845527
91,ADS,SSD,Bm8,0.025,0.15790243902439022
92,ADS,SSD,Bm8,0.05,0.15804979674796746
93,ADS,SSD,Bm8,0.075,0.18147154471544713
94,ADS,SSD,Bm8,0.1,0.2049247967479674
95,ADS,SSD,Bm8,0.125,0.23637195121951216
96,ADS,SSD,Bm8,0.15,0.27128963414634144
97,ADS,SSD,Bm8,0.2,0.33015853658536576
98,ADS,SSD,Bm8,0.25,0.35245426829268295
99,ADS,SSD,Bm8,0.35,0.38262500000000005
