,Model,Comparison,Property,KS stats,KS p-value,Ratio,Mut_sd
0,Mixed,SSD,Transcription rate,0.1632317073170731,0.0005347219178507,1/2,0.1
1,Mixed,SSD,Translation rate,0.4005609756097561,2.3314683517128287e-15,1/2,0.1
2,Mixed,SSD,Protein abundance,0.1472073170731707,0.0024761544349019,1/2,0.1
3,Mixed,SSD,Divergence ratio,0.2103536585365853,2.3133798702223984e-06,1/2,0.1
4,No Cost,SSD,Transcription rate,0.2347317073170731,7.941402691002963e-08,1/2,0.1
5,No Cost,SSD,Translation rate,0.2999146341463414,1.4200862707980377e-12,1/2,0.1
6,No Cost,SSD,Protein abundance,0.3047073170731707,5.679900993982301e-13,1/2,0.1
7,No Cost,SSD,Divergence ratio,0.1840975609756097,5.710571346728699e-05,1/2,0.1
8,ADS,SSD,Transcription rate,0.1995853658536585,9.085303773748166e-06,1/2,0.1
9,ADS,SSD,Translation rate,0.2774268292682927,8.495537606734159e-11,1/2,0.1
10,ADS,SSD,Protein abundance,0.144,0.0033011025162849,1/2,0.1
11,ADS,SSD,Divergence ratio,0.3370975609756098,2.3314683517128287e-15,1/2,0.1
12,Minimal,SSD,Transcription rate,0.1796463414634146,9.416774719162024e-05,1/2,0.1
13,Minimal,SSD,Translation rate,0.2909268292682926,7.591371975479433e-12,1/2,0.1
14,Minimal,SSD,Protein abundance,0.1677560975609756,0.0003369651279221,1/2,0.1
15,Minimal,SSD,Divergence ratio,0.3275975609756097,7.549516567451064e-15,1/2,0.1
16,Mixed,SSD,Transcription rate,0.1792317073170731,9.859611705542726e-05,1/2,0.1
17,Mixed,SSD,Translation rate,0.3990609756097561,2.3314683517128287e-15,1/2,0.1
18,Mixed,SSD,Protein abundance,0.1682073170731707,0.0003215831299251,1/2,0.1
19,Mixed,SSD,Divergence ratio,0.1999634146341463,8.670386812625885e-06,1/2,0.1
20,No Cost,SSD,Transcription rate,0.2421097560975609,2.6531729813150665e-08,1/2,0.1
21,No Cost,SSD,Translation rate,0.2974146341463414,2.2762902673889585e-12,1/2,0.1
22,No Cost,SSD,Protein abundance,0.3104024390243902,1.8662849043948881e-13,1/2,0.1
23,No Cost,SSD,Divergence ratio,0.179,0.0001011590856622,1/2,0.1
24,ADS,SSD,Transcription rate,0.2019512195121951,6.770314901705099e-06,1/2,0.1
25,ADS,SSD,Translation rate,0.2709268292682927,2.601848736460965e-10,1/2,0.1
26,ADS,SSD,Protein abundance,0.1514390243902439,0.0016777500968226,1/2,0.1
27,ADS,SSD,Divergence ratio,0.3225975609756097,1.6653345369377348e-14,1/2,0.1
28,Minimal,SSD,Transcription rate,0.1836463414634146,6.010993590865876e-05,1/2,0.1
29,Minimal,SSD,Translation rate,0.2894268292682926,9.986345084200819e-12,1/2,0.1
30,Minimal,SSD,Protein abundance,0.1634390243902439,0.0005236699599027,1/2,0.1
31,Minimal,SSD,Divergence ratio,0.3230975609756097,1.5099033134902132e-14,1/2,0.1
32,Mixed,SSD,Transcription rate,0.2007317073170731,7.883260302654627e-06,1/2,0.1
33,Mixed,SSD,Translation rate,0.3980609756097561,2.3314683517128287e-15,1/2,0.1
34,Mixed,SSD,Protein abundance,0.1917073170731707,2.3588819481945578e-05,1/2,0.1
35,Mixed,SSD,Divergence ratio,0.2104634146341463,2.2802370448493647e-06,1/2,0.1
36,No Cost,SSD,Transcription rate,0.2317317073170731,1.227770863865274e-07,1/2,0.1
37,No Cost,SSD,Translation rate,0.2774146341463415,8.51855253003464e-11,1/2,0.1
38,No Cost,SSD,Protein abundance,0.2949024390243902,3.644085033727151e-12,1/2,0.1
39,No Cost,SSD,Divergence ratio,0.186,4.593848966150116e-05,1/2,0.1
40,ADS,SSD,Transcription rate,0.190280487804878,2.79187877588738e-05,1/2,0.1
41,ADS,SSD,Translation rate,0.2699268292682927,3.0830460406860993e-10,1/2,0.1
42,ADS,SSD,Protein abundance,0.1320365853658536,0.0091192874040871,1/2,0.1
43,ADS,SSD,Divergence ratio,0.3345975609756098,2.3314683517128287e-15,1/2,0.1
44,Minimal,SSD,Transcription rate,0.1845243902439024,5.439594819878213e-05,1/2,0.1
45,Minimal,SSD,Translation rate,0.2784268292682927,7.133627022426481e-11,1/2,0.1
46,Minimal,SSD,Protein abundance,0.1432560975609756,0.0035253027898353,1/2,0.1
47,Minimal,SSD,Divergence ratio,0.3215975609756097,2.1871393585115584e-14,1/2,0.1
48,Mixed,SSD,Transcription rate,0.1932317073170731,1.9673943319808984e-05,10,0.1
49,Mixed,SSD,Translation rate,0.4450609756097561,2.3314683517128287e-15,10,0.1
50,Mixed,SSD,Protein abundance,0.1371585365853658,0.0059666653217989,10,0.1
51,Mixed,SSD,Divergence ratio,0.2968536585365853,2.5234259126705187e-12,10,0.1
52,No Cost,SSD,Transcription rate,0.2785121951219512,7.032463500422637e-11,10,0.1
53,No Cost,SSD,Translation rate,0.3155609756097561,6.616929226765933e-14,10,0.1
54,No Cost,SSD,Protein abundance,0.2185365853658536,7.785851421360235e-07,10,0.1
55,No Cost,SSD,Divergence ratio,0.2824146341463414,3.5330960379553744e-11,10,0.1
56,ADS,SSD,Transcription rate,0.1872317073170731,3.985401744766026e-05,10,0.1
57,ADS,SSD,Translation rate,0.2965609756097561,2.6649793483102258e-12,10,0.1
58,ADS,SSD,Protein abundance,0.1455365853658536,0.0028783445125152,10,0.1
59,ADS,SSD,Divergence ratio,0.2243536585365853,3.4955222349974946e-07,10,0.1
60,Minimal,SSD,Transcription rate,0.2012317073170731,7.407539898696136e-06,10,0.1
61,Minimal,SSD,Translation rate,0.3010609756097561,1.138533711753098e-12,10,0.1
62,Minimal,SSD,Protein abundance,0.1511585365853658,0.0017222336130974,10,0.1
63,Minimal,SSD,Divergence ratio,0.2373536585365853,5.3970025004623785e-08,10,0.1
64,Mixed,SSD,Transcription rate,0.1982317073170731,1.073563491071905e-05,10,0.1
65,Mixed,SSD,Translation rate,0.450890243902439,2.3314683517128287e-15,10,0.1
66,Mixed,SSD,Protein abundance,0.1450975609756097,0.0029939178447492,10,0.1
67,Mixed,SSD,Divergence ratio,0.2982560975609756,1.938560423297986e-12,10,0.1
68,No Cost,SSD,Transcription rate,0.2525121951219512,5.323880225560629e-09,10,0.1
69,No Cost,SSD,Translation rate,0.3185609756097561,3.7414515929867775e-14,10,0.1
70,No Cost,SSD,Protein abundance,0.1920365853658536,2.268543116124011e-05,10,0.1
71,No Cost,SSD,Divergence ratio,0.2634146341463415,9.161738034890731e-10,10,0.1
72,ADS,SSD,Transcription rate,0.2017317073170731,6.959418030083597e-06,10,0.1
73,ADS,SSD,Translation rate,0.2890609756097561,1.0654588322722702e-11,10,0.1
74,ADS,SSD,Protein abundance,0.1610365853658536,0.000665922005132,10,0.1
75,ADS,SSD,Divergence ratio,0.2373536585365853,5.3970025004623785e-08,10,0.1
76,Minimal,SSD,Transcription rate,0.1892317073170731,3.15776189763195e-05,10,0.1
77,Minimal,SSD,Translation rate,0.3055609756097561,4.829470157119431e-13,10,0.1
78,Minimal,SSD,Protein abundance,0.1392439024390244,0.004996827115727,10,0.1
79,Minimal,SSD,Divergence ratio,0.2383536585365853,4.653341090232743e-08,10,0.1
80,Mixed,SSD,Transcription rate,0.1992317073170731,9.492626811047344e-06,10,0.1
81,Mixed,SSD,Translation rate,0.443780487804878,2.3314683517128287e-15,10,0.1
82,Mixed,SSD,Protein abundance,0.1446585365853658,0.0031132781134526,10,0.1
83,Mixed,SSD,Divergence ratio,0.2878536585365853,1.327149501406666e-11,10,0.1
84,No Cost,SSD,Transcription rate,0.2665121951219512,5.477928111119468e-10,10,0.1
85,No Cost,SSD,Translation rate,0.3225609756097561,1.6653345369377348e-14,10,0.1
86,No Cost,SSD,Protein abundance,0.2080365853658536,3.125202985287956e-06,10,0.1
87,No Cost,SSD,Divergence ratio,0.2804146341463415,5.03401764717637e-11,10,0.1
88,ADS,SSD,Transcription rate,0.2052317073170731,4.4763702169436925e-06,10,0.1
89,ADS,SSD,Translation rate,0.2845609756097561,2.402744669893764e-11,10,0.1
90,ADS,SSD,Protein abundance,0.1552439024390244,0.0011711734729821,10,0.1
91,ADS,SSD,Divergence ratio,0.2292560975609756,1.7502780480516122e-07,10,0.1
92,Minimal,SSD,Transcription rate,0.1957317073170731,1.456203811200929e-05,10,0.1
93,Minimal,SSD,Translation rate,0.2910487804878048,7.410849711675382e-12,10,0.1
94,Minimal,SSD,Protein abundance,0.1545365853658536,0.0012529619071155,10,0.1
95,Minimal,SSD,Divergence ratio,0.2229634146341463,4.240308257852377e-07,10,0.1
96,Mixed,SSD,Transcription rate,0.1852317073170731,5.017246632965655e-05,1,0.1
97,Mixed,SSD,Translation rate,0.3915609756097561,2.3314683517128287e-15,1,0.1
98,Mixed,SSD,Protein abundance,0.1535365853658536,0.0013776982896718,1,0.1
99,Mixed,SSD,Divergence ratio,0.2447560975609756,1.773288704765008e-08,1,0.1
100,No Cost,SSD,Transcription rate,0.2425121951219512,2.4967152456589762e-08,1,0.1
