,Model,Comparison,Run,Mut_sd,KS stats
0,ADS,WGD,Bm05,0.01,0.2648928571428571
1,ADS,WGD,Bm05,0.025,0.25864200680272104
2,ADS,WGD,Bm05,0.05,0.24377125850340128
3,ADS,WGD,Bm05,0.075,0.23352125850340136
4,ADS,WGD,Bm05,0.1,0.2258562925170068
5,ADS,WGD,Bm05,0.125,0.22648554421768705
6,ADS,WGD,Bm05,0.15,0.2253707482993197
7,ADS,WGD,Bm05,0.2,0.23601190476190473
8,ADS,WGD,Bm05,0.25,0.24949999999999997
9,ADS,WGD,Bm05,0.35,0.2854617346938776
10,ADS,WGD,Bm1,0.01,0.19784268707482988
11,ADS,WGD,Bm1,0.025,0.1908801020408163
12,ADS,WGD,Bm1,0.05,0.18192176870748297
13,ADS,WGD,Bm1,0.075,0.1735867346938775
14,ADS,WGD,Bm1,0.1,0.17331462585034008
15,ADS,WGD,Bm1,0.125,0.16901530612244894
16,ADS,WGD,Bm1,0.15,0.1729600340136054
17,ADS,WGD,Bm1,0.2,0.18584948979591834
18,ADS,WGD,Bm1,0.25,0.19094047619047616
19,ADS,WGD,Bm1,0.35,0.22807312925170065
20,ADS,WGD,Bm10,0.01,0.15395578231292514
21,ADS,WGD,Bm10,0.025,0.14879081632653057
22,ADS,WGD,Bm10,0.05,0.13482482993197276
23,ADS,WGD,Bm10,0.075,0.11700595238095235
24,ADS,WGD,Bm10,0.1,0.11130187074829927
25,ADS,WGD,Bm10,0.125,0.12032142857142854
26,ADS,WGD,Bm10,0.15,0.12513265306122445
27,ADS,WGD,Bm10,0.2,0.13926955782312925
28,ADS,WGD,Bm10,0.25,0.16800765306122445
29,ADS,WGD,Bm10,0.35,0.21163350340136047
30,ADS,WGD,Bm2,0.01,0.14245578231292513
31,ADS,WGD,Bm2,0.025,0.1276955782312925
32,ADS,WGD,Bm2,0.05,0.1224761904761904
33,ADS,WGD,Bm2,0.075,0.11001360544217682
34,ADS,WGD,Bm2,0.1,0.10676360544217682
35,ADS,WGD,Bm2,0.125,0.11127465986394557
36,ADS,WGD,Bm2,0.15,0.11336394557823126
37,ADS,WGD,Bm2,0.2,0.1299098639455782
38,ADS,WGD,Bm2,0.25,0.1388180272108843
39,ADS,WGD,Bm2,0.35,0.18347193877551016
40,ADS,WGD,Bm3,0.01,0.11898299319727886
41,ADS,WGD,Bm3,0.025,0.10660374149659861
42,ADS,WGD,Bm3,0.05,0.08880357142857138
43,ADS,WGD,Bm3,0.075,0.08336564625850333
44,ADS,WGD,Bm3,0.1,0.0759914965986394
45,ADS,WGD,Bm3,0.125,0.07335969387755098
