,Model,Comparison,Run,Mut_sd,KS stats
0,ADS,WGD,Bm05,0.01,0.31127806122448975
1,ADS,WGD,Bm05,0.025,0.28894982993197277
2,ADS,WGD,Bm05,0.05,0.26421598639455773
3,ADS,WGD,Bm05,0.075,0.2526139455782313
4,ADS,WGD,Bm05,0.1,0.2549022108843538
5,ADS,WGD,Bm05,0.125,0.2649438775510204
6,ADS,WGD,Bm05,0.15,0.29084948979591835
7,ADS,WGD,Bm05,0.2,0.3566003401360544
8,ADS,WGD,Bm05,0.25,0.40815221088435366
9,ADS,WGD,Bm05,0.35,0.4487602040816327
10,ADS,WGD,Bm1,0.01,0.19751530612244894
11,ADS,WGD,Bm1,0.025,0.17754251700680268
12,ADS,WGD,Bm1,0.05,0.1772202380952381
13,ADS,WGD,Bm1,0.075,0.18781802721088434
14,ADS,WGD,Bm1,0.1,0.21948214285714282
15,ADS,WGD,Bm1,0.125,0.25700170068027206
16,ADS,WGD,Bm1,0.15,0.2899447278911564
17,ADS,WGD,Bm1,0.2,0.35184353741496593
18,ADS,WGD,Bm1,0.25,0.39961649659863946
19,ADS,WGD,Bm1,0.35,0.4422372448979592
20,ADS,WGD,Bm10,0.01,0.26660544217687077
21,ADS,WGD,Bm10,0.025,0.231953231292517
22,ADS,WGD,Bm10,0.05,0.21365901360544218
23,ADS,WGD,Bm10,0.075,0.22128571428571428
24,ADS,WGD,Bm10,0.1,0.22531122448979587
25,ADS,WGD,Bm10,0.125,0.24890476190476182
26,ADS,WGD,Bm10,0.15,0.2742695578231292
27,ADS,WGD,Bm10,0.2,0.2877806122448979
28,ADS,WGD,Bm10,0.25,0.2962899659863945
29,ADS,WGD,Bm10,0.35,0.33879336734693877
30,ADS,WGD,Bm2,0.01,0.10070918367346937
31,ADS,WGD,Bm2,0.025,0.08344387755102035
32,ADS,WGD,Bm2,0.05,0.09962074829931968
33,ADS,WGD,Bm2,0.075,0.13336819727891155
34,ADS,WGD,Bm2,0.1,0.17445153061224486
35,ADS,WGD,Bm2,0.125,0.2165051020408163
36,ADS,WGD,Bm2,0.15,0.26422874149659864
37,ADS,WGD,Bm2,0.2,0.34803146258503403
38,ADS,WGD,Bm2,0.25,0.3947712585034013
39,ADS,WGD,Bm2,0.35,0.46055697278911567
40,ADS,WGD,Bm3,0.01,0.13388435374149657
41,ADS,WGD,Bm3,0.025,0.10326105442176865
42,ADS,WGD,Bm3,0.05,0.08799404761904757
43,ADS,WGD,Bm3,0.075,0.11833418367346933
44,ADS,WGD,Bm3,0.1,0.16598554421768705
45,ADS,WGD,Bm3,0.125,0.19978571428571423
46,ADS,WGD,Bm3,0.15,0.2560008503401361
47,ADS,WGD,Bm3,0.2,0.32964455782312924
48,ADS,WGD,Bm3,0.25,0.38533758503401355
49,ADS,WGD,Bm3,0.35,0.42695748299319725
50,ADS,WGD,Bm4,0.01,0.16403826530612242
51,ADS,WGD,Bm4,0.025,0.1313392857142857
52,ADS,WGD,Bm4,0.05,0.11782908163265304
53,ADS,WGD,Bm4,0.075,0.12706292517006798
54,ADS,WGD,Bm4,0.1,0.1490680272108843
55,ADS,WGD,Bm4,0.125,0.19110969387755095
56,ADS,WGD,Bm4,0.15,0.23426445578231284
57,ADS,WGD,Bm4,0.2,0.32742431972789116
58,ADS,WGD,Bm4,0.25,0.36498724489795914
59,ADS,WGD,Bm4,0.35,0.4124328231292516
60,ADS,WGD,Bm5,0.01,0.19198214285714285
61,ADS,WGD,Bm5,0.025,0.15623384353741493
62,ADS,WGD,Bm5,0.05,0.13868877551020406
63,ADS,WGD,Bm5,0.075,0.14932738095238093
64,ADS,WGD,Bm5,0.1,0.164672619047619
65,ADS,WGD,Bm5,0.125,0.18060714285714283
66,ADS,WGD,Bm5,0.15,0.22942431972789112
67,ADS,WGD,Bm5,0.2,0.3125136054421768
68,ADS,WGD,Bm5,0.25,0.3516335034013605
69,ADS,WGD,Bm5,0.35,0.3997355442176871
70,ADS,WGD,Bm6,0.01,0.21014880952380952
71,ADS,WGD,Bm6,0.025,0.17537925170068025
72,ADS,WGD,Bm6,0.05,0.16151700680272105
73,ADS,WGD,Bm6,0.075,0.16472278911564622
74,ADS,WGD,Bm6,0.1,0.1796164965986394
75,ADS,WGD,Bm6,0.125,0.2000280612244897
76,ADS,WGD,Bm6,0.15,0.23426615646258506
77,ADS,WGD,Bm6,0.2,0.2913520408163265
78,ADS,WGD,Bm6,0.25,0.32814795918367345
79,ADS,WGD,Bm6,0.35,0.3839039115646259
80,ADS,WGD,Bm7,0.01,0.22859098639455777
81,ADS,WGD,Bm7,0.025,0.19132738095238092
82,ADS,WGD,Bm7,0.05,0.17582993197278907
83,ADS,WGD,Bm7,0.075,0.18315136054421766
84,ADS,WGD,Bm7,0.1,0.1904115646258503
85,ADS,WGD,Bm7,0.125,0.21715986394557818
86,ADS,WGD,Bm7,0.15,0.24487074829931973
87,ADS,WGD,Bm7,0.2,0.2821088435374149
88,ADS,WGD,Bm7,0.25,0.3290442176870748
89,ADS,WGD,Bm7,0.35,0.3656130952380952
90,ADS,WGD,Bm8,0.01,0.24539540816326533
91,ADS,WGD,Bm8,0.025,0.20673554421768703
92,ADS,WGD,Bm8,0.05,0.19123979591836734
