,Model,Comparison,Run,Mut_sd,KS stats
0,ADS,WGD,Bm05,0.01,0.31550425170068025
1,ADS,WGD,Bm05,0.025,0.31448554421768704
2,ADS,WGD,Bm05,0.05,0.3001130952380952
3,ADS,WGD,Bm05,0.075,0.2836607142857142
4,ADS,WGD,Bm05,0.1,0.2697491496598639
5,ADS,WGD,Bm05,0.125,0.2686471088435373
6,ADS,WGD,Bm05,0.15,0.2665034013605442
7,ADS,WGD,Bm05,0.2,0.2520875850340136
8,ADS,WGD,Bm05,0.25,0.25237329931972785
9,ADS,WGD,Bm05,0.35,0.26593707482993195
10,ADS,WGD,Bm1,0.01,0.20205357142857147
11,ADS,WGD,Bm1,0.025,0.19641751700680268
12,ADS,WGD,Bm1,0.05,0.18766496598639457
13,ADS,WGD,Bm1,0.075,0.1751181972789115
14,ADS,WGD,Bm1,0.1,0.17826190476190473
15,ADS,WGD,Bm1,0.125,0.18022363945578226
16,ADS,WGD,Bm1,0.15,0.18072448979591835
17,ADS,WGD,Bm1,0.2,0.1816003401360544
18,ADS,WGD,Bm1,0.25,0.19923979591836735
19,ADS,WGD,Bm1,0.35,0.24748299319727893
20,ADS,WGD,Bm10,0.01,0.2825824829931973
21,ADS,WGD,Bm10,0.025,0.2719659863945578
22,ADS,WGD,Bm10,0.05,0.24905697278911557
23,ADS,WGD,Bm10,0.075,0.23081377551020407
24,ADS,WGD,Bm10,0.1,0.21759268707482984
25,ADS,WGD,Bm10,0.125,0.21158928571428567
26,ADS,WGD,Bm10,0.15,0.21627551020408164
27,ADS,WGD,Bm10,0.2,0.2117738095238095
28,ADS,WGD,Bm10,0.25,0.21745748299319723
29,ADS,WGD,Bm10,0.35,0.2492482993197279
30,ADS,WGD,Bm2,0.01,0.11337840136054415
31,ADS,WGD,Bm2,0.025,0.10480442176870745
32,ADS,WGD,Bm2,0.05,0.09404506802721084
33,ADS,WGD,Bm2,0.075,0.08841496598639452
34,ADS,WGD,Bm2,0.1,0.08488350340136051
35,ADS,WGD,Bm2,0.125,0.09232738095238092
36,ADS,WGD,Bm2,0.15,0.1000892857142857
37,ADS,WGD,Bm2,0.2,0.12049489795918363
38,ADS,WGD,Bm2,0.25,0.15083248299319726
39,ADS,WGD,Bm2,0.35,0.22494217687074824
40,ADS,WGD,Bm3,0.01,0.1462602040816326
41,ADS,WGD,Bm3,0.025,0.13879251700680267
42,ADS,WGD,Bm3,0.05,0.11744217687074826
43,ADS,WGD,Bm3,0.075,0.10002636054421764
44,ADS,WGD,Bm3,0.1,0.08725935374149656
45,ADS,WGD,Bm3,0.125,0.08369727891156457
46,ADS,WGD,Bm3,0.15,0.09003911564625845
47,ADS,WGD,Bm3,0.2,0.11527636054421765
48,ADS,WGD,Bm3,0.25,0.13712925170068024
49,ADS,WGD,Bm3,0.35,0.21440391156462582
50,ADS,WGD,Bm4,0.01,0.17919812925170064
51,ADS,WGD,Bm4,0.025,0.17017006802721082
52,ADS,WGD,Bm4,0.05,0.14603741496598635
53,ADS,WGD,Bm4,0.075,0.12543197278911558
54,ADS,WGD,Bm4,0.1,0.11781292517006797
55,ADS,WGD,Bm4,0.125,0.11681037414965982
56,ADS,WGD,Bm4,0.15,0.11876785714285709
57,ADS,WGD,Bm4,0.2,0.12635289115646256
58,ADS,WGD,Bm4,0.25,0.13448639455782307
59,ADS,WGD,Bm4,0.35,0.19979931972789108
60,ADS,WGD,Bm5,0.01,0.20857057823129246
61,ADS,WGD,Bm5,0.025,0.19639030612244898
62,ADS,WGD,Bm5,0.05,0.17321003401360544
63,ADS,WGD,Bm5,0.075,0.1528571428571428
64,ADS,WGD,Bm5,0.1,0.14179166666666662
65,ADS,WGD,Bm5,0.125,0.13618877551020406
66,ADS,WGD,Bm5,0.15,0.14028911564625848
67,ADS,WGD,Bm5,0.2,0.1490459183673469
68,ADS,WGD,Bm5,0.25,0.1515289115646258
69,ADS,WGD,Bm5,0.35,0.19462074829931972
70,ADS,WGD,Bm6,0.01,0.22557653061224484
71,ADS,WGD,Bm6,0.025,0.21659438775510198
72,ADS,WGD,Bm6,0.05,0.19584523809523804
73,ADS,WGD,Bm6,0.075,0.17133163265306114
74,ADS,WGD,Bm6,0.1,0.16228146258503398
75,ADS,WGD,Bm6,0.125,0.16065051020408158
76,ADS,WGD,Bm6,0.15,0.15979251700680266
77,ADS,WGD,Bm6,0.2,0.1628409863945578
78,ADS,WGD,Bm6,0.25,0.16878401360544212
79,ADS,WGD,Bm6,0.35,0.20622363945578226
80,ADS,WGD,Bm7,0.01,0.24856887755102045
81,ADS,WGD,Bm7,0.025,0.23688180272108839
82,ADS,WGD,Bm7,0.05,0.21391581632653064
83,ADS,WGD,Bm7,0.075,0.19129336734693872
84,ADS,WGD,Bm7,0.1,0.17824574829931972
85,ADS,WGD,Bm7,0.125,0.1743350340136054
86,ADS,WGD,Bm7,0.15,0.17709523809523808
87,ADS,WGD,Bm7,0.2,0.17607653061224485
88,ADS,WGD,Bm7,0.25,0.18415731292517004
89,ADS,WGD,Bm7,0.35,0.22120068027210882
90,ADS,WGD,Bm8,0.01,0.26116581632653063
91,ADS,WGD,Bm8,0.025,0.25247023809523805
92,ADS,WGD,Bm8,0.05,0.22827806122448976
93,ADS,WGD,Bm8,0.075,0.20343877551020403
94,ADS,WGD,Bm8,0.1,0.1908962585034013
95,ADS,WGD,Bm8,0.125,0.18851955782312924
96,ADS,WGD,Bm8,0.15,0.1900705782312925
97,ADS,WGD,Bm8,0.2,0.1914022108843537
98,ADS,WGD,Bm8,0.25,0.19618282312925164
99,ADS,WGD,Bm8,0.35,0.23426530612244897
100,ADS,WGD,Bm9,0.01,0.27584013605442176
101,ADS,WGD,Bm9,0.025,0.2659566326530612
102,ADS,WGD,Bm9,0.05,0.24019047619047618
103,ADS,WGD,Bm9,0.075,0.21701955782312923
104,ADS,WGD,Bm9,0.1,0.20598044217687073
105,ADS,WGD,Bm9,0.125,0.20147789115646253
106,ADS,WGD,Bm9,0.15,0.2026130952380952
107,ADS,WGD,Bm9,0.2,0.20725425170068024
108,ADS,WGD,Bm9,0.25,0.20835034013605438
109,ADS,WGD,Bm9,0.35,0.24393877551020407
110,Minimal,WGD,Bm05,0.01,0.32148979591836735
111,Minimal,WGD,Bm05,0.025,0.3136113945578231
112,Minimal,WGD,Bm05,0.05,0.2998129251700679
113,Minimal,WGD,Bm05,0.075,0.2841496598639456
114,Minimal,WGD,Bm05,0.1,0.2756224489795918
115,Minimal,WGD,Bm05,0.125,0.26812414965986386
116,Minimal,WGD,Bm05,0.15,0.2646215986394558
117,Minimal,WGD,Bm05,0.2,0.2565119047619047
118,Minimal,WGD,Bm05,0.25,0.251704081632653
119,Minimal,WGD,Bm05,0.35,0.26929591836734684
120,Minimal,WGD,Bm1,0.01,0.20218452380952376
121,Minimal,WGD,Bm1,0.025,0.1954413265306122
122,Minimal,WGD,Bm1,0.05,0.19044302721088432
123,Minimal,WGD,Bm1,0.075,0.17525
124,Minimal,WGD,Bm1,0.1,0.17373384353741492
125,Minimal,WGD,Bm1,0.125,0.17853996598639454
126,Minimal,WGD,Bm1,0.15,0.17666241496598636
127,Minimal,WGD,Bm1,0.2,0.18449829931972783
128,Minimal,WGD,Bm1,0.25,0.19624489795918362
129,Minimal,WGD,Bm1,0.35,0.24941411564625846
130,Minimal,WGD,Bm10,0.01,0.2838256802721088
131,Minimal,WGD,Bm10,0.025,0.27219387755102037
132,Minimal,WGD,Bm10,0.05,0.25003401360544214
133,Minimal,WGD,Bm10,0.075,0.23028996598639453
134,Minimal,WGD,Bm10,0.1,0.21763180272108842
135,Minimal,WGD,Bm10,0.125,0.213516156462585
136,Minimal,WGD,Bm10,0.15,0.21307227891156458
137,Minimal,WGD,Bm10,0.2,0.21574404761904756
138,Minimal,WGD,Bm10,0.25,0.2209328231292517
139,Minimal,WGD,Bm10,0.35,0.25066071428571424
140,Minimal,WGD,Bm2,0.01,0.11479336734693874
141,Minimal,WGD,Bm2,0.025,0.10834438775510201
142,Minimal,WGD,Bm2,0.05,0.09478741496598635
143,Minimal,WGD,Bm2,0.075,0.08448894557823124
144,Minimal,WGD,Bm2,0.1,0.08596088435374144
145,Minimal,WGD,Bm2,0.125,0.08919302721088429
146,Minimal,WGD,Bm2,0.15,0.10138520408163261
147,Minimal,WGD,Bm2,0.2,0.12885544217687075
148,Minimal,WGD,Bm2,0.25,0.15196343537414964
149,Minimal,WGD,Bm2,0.35,0.2197049319727891
150,Minimal,WGD,Bm3,0.01,0.14744557823129248
151,Minimal,WGD,Bm3,0.025,0.13709268707482988
152,Minimal,WGD,Bm3,0.05,0.11728486394557819
153,Minimal,WGD,Bm3,0.075,0.09713265306122444
154,Minimal,WGD,Bm3,0.1,0.08537925170068023
155,Minimal,WGD,Bm3,0.125,0.0821930272108843
156,Minimal,WGD,Bm3,0.15,0.08969557823129248
157,Minimal,WGD,Bm3,0.2,0.11370408163265304
158,Minimal,WGD,Bm3,0.25,0.15126445578231287
159,Minimal,WGD,Bm3,0.35,0.2181045918367346
160,Minimal,WGD,Bm4,0.01,0.1824753401360544
161,Minimal,WGD,Bm4,0.025,0.16877551020408157
162,Minimal,WGD,Bm4,0.05,0.14699319727891152
163,Minimal,WGD,Bm4,0.075,0.12631547619047617
164,Minimal,WGD,Bm4,0.1,0.1195731292517006
165,Minimal,WGD,Bm4,0.125,0.11811649659863942
166,Minimal,WGD,Bm4,0.15,0.12042006802721084
167,Minimal,WGD,Bm4,0.2,0.12931037414965982
168,Minimal,WGD,Bm4,0.25,0.1330960884353741
169,Minimal,WGD,Bm4,0.35,0.2020459183673469
170,Minimal,WGD,Bm5,0.01,0.20947959183673467
171,Minimal,WGD,Bm5,0.025,0.19412585034013605
172,Minimal,WGD,Bm5,0.05,0.17596428571428568
173,Minimal,WGD,Bm5,0.075,0.15543282312925166
174,Minimal,WGD,Bm5,0.1,0.14175085034013601
175,Minimal,WGD,Bm5,0.125,0.13909948979591832
176,Minimal,WGD,Bm5,0.15,0.13785459183673465
177,Minimal,WGD,Bm5,0.2,0.1463460884353741
178,Minimal,WGD,Bm5,0.25,0.1553010204081632
179,Minimal,WGD,Bm5,0.35,0.18436649659863943
180,Minimal,WGD,Bm6,0.01,0.2281751700680272
181,Minimal,WGD,Bm6,0.025,0.21427976190476186
182,Minimal,WGD,Bm6,0.05,0.19584353741496596
183,Minimal,WGD,Bm6,0.075,0.174266156462585
184,Minimal,WGD,Bm6,0.1,0.1610552721088435
185,Minimal,WGD,Bm6,0.125,0.15976870748299316
186,Minimal,WGD,Bm6,0.15,0.16078231292517
187,Minimal,WGD,Bm6,0.2,0.16225595238095233
188,Minimal,WGD,Bm6,0.25,0.17335799319727885
189,Minimal,WGD,Bm6,0.35,0.1996275510204081
190,Minimal,WGD,Bm7,0.01,0.2466734693877551
191,Minimal,WGD,Bm7,0.025,0.2356794217687075
192,Minimal,WGD,Bm7,0.05,0.21502040816326526
193,Minimal,WGD,Bm7,0.075,0.1889302721088435
194,Minimal,WGD,Bm7,0.1,0.1784039115646258
195,Minimal,WGD,Bm7,0.125,0.17486139455782312
196,Minimal,WGD,Bm7,0.15,0.1771700680272109
197,Minimal,WGD,Bm7,0.2,0.18113010204081628
198,Minimal,WGD,Bm7,0.25,0.18733928571428562
199,Minimal,WGD,Bm7,0.35,0.21025935374149654
200,Minimal,WGD,Bm8,0.01,0.2605807823129252
201,Minimal,WGD,Bm8,0.025,0.2466020408163265
202,Minimal,WGD,Bm8,0.05,0.22629081632653056
203,Minimal,WGD,Bm8,0.075,0.20446768707482987
204,Minimal,WGD,Bm8,0.1,0.19473214285714283
205,Minimal,WGD,Bm8,0.125,0.18783588435374146
206,Minimal,WGD,Bm8,0.15,0.19123979591836734
207,Minimal,WGD,Bm8,0.2,0.19343622448979583
208,Minimal,WGD,Bm8,0.25,0.1989770408163265
209,Minimal,WGD,Bm8,0.35,0.22442942176870742
210,Minimal,WGD,Bm9,0.01,0.27482482993197277
211,Minimal,WGD,Bm9,0.025,0.2608690476190476
212,Minimal,WGD,Bm9,0.05,0.23871088435374146
213,Minimal,WGD,Bm9,0.075,0.2170119047619047
214,Minimal,WGD,Bm9,0.1,0.20667857142857138
215,Minimal,WGD,Bm9,0.125,0.2000535714285714
216,Minimal,WGD,Bm9,0.15,0.20216751700680266
217,Minimal,WGD,Bm9,0.2,0.20638180272108841
218,Minimal,WGD,Bm9,0.25,0.21099149659863944
219,Minimal,WGD,Bm9,0.35,0.2356037414965986
220,Mixed,WGD,Bm05,0.01,0.1515722789115646
221,Mixed,WGD,Bm05,0.025,0.1501743197278911
222,Mixed,WGD,Bm05,0.05,0.1412372448979591
223,Mixed,WGD,Bm05,0.075,0.13351275510204075
224,Mixed,WGD,Bm05,0.1,0.13207823129251697
225,Mixed,WGD,Bm05,0.125,0.1348741496598639
226,Mixed,WGD,Bm05,0.15,0.13128486394557817
227,Mixed,WGD,Bm05,0.2,0.14029846938775506
228,Mixed,WGD,Bm05,0.25,0.1535085034013605
229,Mixed,WGD,Bm05,0.35,0.18893792517006802
230,Mixed,WGD,Bm1,0.01,0.11854336734693872
231,Mixed,WGD,Bm1,0.025,0.11656717687074825
232,Mixed,WGD,Bm1,0.05,0.09035459183673465
233,Mixed,WGD,Bm1,0.075,0.0859523809523809
234,Mixed,WGD,Bm1,0.1,0.0879370748299319
235,Mixed,WGD,Bm1,0.125,0.0859039115646258
236,Mixed,WGD,Bm1,0.15,0.08129846938775505
237,Mixed,WGD,Bm1,0.2,0.08773894557823127
238,Mixed,WGD,Bm1,0.25,0.10398214285714281
239,Mixed,WGD,Bm1,0.35,0.16649659863945573
240,Mixed,WGD,Bm10,0.01,0.2867959183673469
241,Mixed,WGD,Bm10,0.025,0.27253231292517005
242,Mixed,WGD,Bm10,0.05,0.25380442176870743
243,Mixed,WGD,Bm10,0.075,0.23200170068027207
244,Mixed,WGD,Bm10,0.1,0.21823384353741493
245,Mixed,WGD,Bm10,0.125,0.21586224489795913
246,Mixed,WGD,Bm10,0.15,0.2174030612244898
247,Mixed,WGD,Bm10,0.2,0.21598809523809523
248,Mixed,WGD,Bm10,0.25,0.22746428571428567
249,Mixed,WGD,Bm10,0.35,0.2537083333333333
250,Mixed,WGD,Bm2,0.01,0.13267261904761898
251,Mixed,WGD,Bm2,0.025,0.12456292517006796
252,Mixed,WGD,Bm2,0.05,0.10602210884353737
253,Mixed,WGD,Bm2,0.075,0.09046258503401355
254,Mixed,WGD,Bm2,0.1,0.07582142857142853
255,Mixed,WGD,Bm2,0.125,0.06841921768707479
256,Mixed,WGD,Bm2,0.15,0.07486479591836731
257,Mixed,WGD,Bm2,0.2,0.0838426870748299
258,Mixed,WGD,Bm2,0.25,0.0995382653061224
259,Mixed,WGD,Bm2,0.35,0.16792857142857143
260,Mixed,WGD,Bm3,0.01,0.16150255102040814
261,Mixed,WGD,Bm3,0.025,0.1558537414965986
262,Mixed,WGD,Bm3,0.05,0.13561649659863942
263,Mixed,WGD,Bm3,0.075,0.11009693877551015
264,Mixed,WGD,Bm3,0.1,0.10804506802721082
265,Mixed,WGD,Bm3,0.125,0.09702465986394554
266,Mixed,WGD,Bm3,0.15,0.10242261904761901
267,Mixed,WGD,Bm3,0.2,0.1108163265306122
268,Mixed,WGD,Bm3,0.25,0.12223384353741491
269,Mixed,WGD,Bm3,0.35,0.17028996598639448
270,Mixed,WGD,Bm4,0.01,0.19001955782312926
271,Mixed,WGD,Bm4,0.025,0.1802848639455782
272,Mixed,WGD,Bm4,0.05,0.1591675170068027
273,Mixed,WGD,Bm4,0.075,0.1371692176870748
274,Mixed,WGD,Bm4,0.1,0.12690731292517005
275,Mixed,WGD,Bm4,0.125,0.12120833333333327
276,Mixed,WGD,Bm4,0.15,0.12462670068027204
277,Mixed,WGD,Bm4,0.2,0.1306020408163265
278,Mixed,WGD,Bm4,0.25,0.1449166666666666
279,Mixed,WGD,Bm4,0.35,0.19024489795918365
280,Mixed,WGD,Bm5,0.01,0.2148562925170068
281,Mixed,WGD,Bm5,0.025,0.20480697278911564
282,Mixed,WGD,Bm5,0.05,0.18064625850340132
283,Mixed,WGD,Bm5,0.075,0.15767261904761903
284,Mixed,WGD,Bm5,0.1,0.1480680272108843
285,Mixed,WGD,Bm5,0.125,0.1418767006802721
286,Mixed,WGD,Bm5,0.15,0.146906462585034
287,Mixed,WGD,Bm5,0.2,0.1545442176870748
288,Mixed,WGD,Bm5,0.25,0.1585586734693877
289,Mixed,WGD,Bm5,0.35,0.20471258503401357
290,Mixed,WGD,Bm6,0.01,0.23481037414965986
291,Mixed,WGD,Bm6,0.025,0.2223069727891156
292,Mixed,WGD,Bm6,0.05,0.20455102040816328
293,Mixed,WGD,Bm6,0.075,0.1782959183673469
294,Mixed,WGD,Bm6,0.1,0.16600255102040815
295,Mixed,WGD,Bm6,0.125,0.16425425170068028
296,Mixed,WGD,Bm6,0.15,0.16483843537414963
297,Mixed,WGD,Bm6,0.2,0.16933673469387753
298,Mixed,WGD,Bm6,0.25,0.17723384353741498
299,Mixed,WGD,Bm6,0.35,0.21027891156462578
300,Mixed,WGD,Bm7,0.01,0.24980952380952381
301,Mixed,WGD,Bm7,0.025,0.24139795918367346
302,Mixed,WGD,Bm7,0.05,0.2178307823129251
303,Mixed,WGD,Bm7,0.075,0.1896683673469388
304,Mixed,WGD,Bm7,0.1,0.17991496598639453
305,Mixed,WGD,Bm7,0.125,0.17807568027210882
306,Mixed,WGD,Bm7,0.15,0.1799566326530612
307,Mixed,WGD,Bm7,0.2,0.1803801020408163
308,Mixed,WGD,Bm7,0.25,0.18978996598639453
309,Mixed,WGD,Bm7,0.35,0.22526190476190475
310,Mixed,WGD,Bm8,0.01,0.2618622448979592
311,Mixed,WGD,Bm8,0.025,0.2535705782312925
312,Mixed,WGD,Bm8,0.05,0.22898979591836732
