Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,0.1412622310130449,2.219457663103222e-10,0.21068102117025528,1.680368208662438e-21
ADS,Bm05,iter2,0,0.21306589135656034,5.775112189529103e-22,0.27790104347526084,8.58991892907532e-37
ADS,Bm05,iter3,0,0.13431546696851024,1.6359633788613513e-09,0.20011201852800461,1.636673928400444e-19
ADS,Bm10,iter1,0,0.17353946083223648,5.477187402080814e-15,0.25097801674450415,4.1809777553471114e-30
ADS,Bm10,iter2,0,0.18976453093673765,1.1374675087572756e-17,0.258534636133659,6.640084093467408e-32
ADS,Bm10,iter3,0,0.15340173511494326,5.314821848905e-12,0.24847314811828702,1.6012298602824146e-29
ADS,Bm1,iter1,0,0.146510992058107,4.5909909536581955e-11,0.23250880612720154,5.874856085698323e-26
ADS,Bm1,iter2,0,0.14082353714679052,2.525320589028527e-10,0.2459122244780561,6.222077652590921e-29
ADS,Bm1,iter3,0,0.18536520435562998,6.426486285459004e-17,0.2412709833177458,6.998119579057008e-28
ADS,Bm2,iter1,0,0.14206723869934235,1.749470714414845e-10,0.2383521460880365,3.12335343914953e-27
ADS,Bm2,iter2,0,0.1351568023718714,1.2912553789483145e-09,0.23723199830799957,5.5158526425785084e-27
ADS,Bm2,iter3,0,0.15369148638355698,4.8435466176458215e-12,0.23106077626519408,1.20069007803243e-25
ADS,Bm3,iter1,0,0.10124726259903477,5.712871550378177e-06,0.20725883181470794,7.607403277150398e-21
ADS,Bm3,iter2,0,0.1522513948026872,7.670542358882935e-12,0.24268977517244375,3.357703955652912e-28
ADS,Bm3,iter3,0,0.15665807127715864,1.852988026919333e-12,0.224217212054303,3.2955795782070022e-24
ADS,Bm4,iter1,0,0.12050644438451072,6.460910735935902e-08,0.2013992243498061,9.497190898235987e-20
ADS,Bm4,iter2,0,0.15190951898569194,8.549628336259473e-12,0.23881147620286905,2.4715426484531017e-27
ADS,Bm4,iter3,0,0.14576839455947505,5.7576164140077064e-11,0.2170327697581924,9.497027124897103e-23
ADS,Bm5,iter1,0,0.09959617894295741,8.105029648160091e-06,0.18626817906704474,4.519815283880206e-17
ADS,Bm5,iter2,0,0.1504208294128039,1.3673857659512316e-11,0.2418834064708516,5.099940676246919e-28
ADS,Bm5,iter3,0,0.13283381166759473,2.4728842090584937e-09,0.21731890682972668,8.32599167594203e-23
ADS,Bm6,iter1,0,0.13974668713607752,3.4610937224844885e-10,0.22398386299596573,3.6825700858179206e-24
ADS,Bm6,iter2,0,0.1216463085674811,4.8407177108051955e-08,0.20588915897228974,1.3819985383685084e-20
ADS,Bm6,iter3,0,0.15183828911348018,8.744832507755705e-12,0.2315775773943943,9.308530673044436e-26
ADS,Bm7,iter1,0,0.145730938819079,5.823571872524153e-11,0.22624412056103016,1.2496659978785226e-24
ADS,Bm7,iter2,0,0.17584457355743183,2.3582184801034096e-15,0.27101048425262103,5.241424007499604e-35
ADS,Bm7,iter3,0,0.13534793836483827,1.223427451590512e-09,0.19978557044639259,1.8778105454135217e-19
ADS,Bm8,iter1,0,0.15811828664371663,1.146849560941006e-12,0.2369160337290084,6.472180556608828e-27
