Model,Run,Iter,Mut_alpha,pearson,r_pval,spearman,rho_pval
ADS,Bm05,iter1,0,0.09521968599655511,1.9955687801251366e-05,0.11013456053364012,7.920592092193718e-07
ADS,Bm05,iter2,0,0.14166291536585696,1.971893581552403e-10,0.14899254724813682,2.136287542115901e-11
ADS,Bm05,iter3,0,0.1098680211537911,8.423444517952705e-07,0.10785972746493186,1.3332775583222193e-06
ADS,Bm10,iter1,0,0.08590919599018819,0.00011972562985842221,0.09988895647223911,7.620616060206494e-06
ADS,Bm10,iter2,0,0.07917107515291096,0.00039412246008879075,0.07900839925209982,0.00040518469950512494
ADS,Bm10,iter3,0,0.055674170052894704,0.012767141532939754,0.06570144592536148,0.003286388464333817
ADS,Bm1,iter1,0,0.11405910827024139,3.147605110105087e-07,0.12664929166232292,1.3213097373176166e-08
ADS,Bm1,iter2,0,0.12087322128574989,5.889435405730204e-08,0.1347059331764833,1.4660897117057517e-09
ADS,Bm1,iter3,0,0.08015803018928358,0.00033282835959299976,0.09922266080566519,8.765831808954313e-06
ADS,Bm2,iter1,0,0.07813394516893363,0.0004697827578113042,0.10119649029912257,5.775113170741103e-06
ADS,Bm2,iter2,0,0.10801131977278171,1.2882176073196764e-06,0.11893159023289757,9.586109231744649e-08
ADS,Bm2,iter3,0,0.08339474052583379,0.00018868744387319096,0.10592193248048312,2.060772394744253e-06
ADS,Bm3,iter1,0,0.062233323653097555,0.005367354567243146,0.06913594128398531,0.0019772900246620368
ADS,Bm3,iter2,0,0.08413544672785941,0.00016523441478242024,0.0773613088403272,0.0005347243372989792
ADS,Bm3,iter3,0,0.0544246939216758,0.0149235559061027,0.0808077157019289,0.0002974754334189218
ADS,Bm4,iter1,0,0.08934054885434034,6.309254322260354e-05,0.10152809838202459,5.380020359752034e-06
ADS,Bm4,iter2,0,0.10237892861230538,4.4811004104634886e-06,0.11305563276390819,3.997013174443033e-07
ADS,Bm4,iter3,0,0.07110036988043969,0.0014639086492875231,0.08950585337646334,6.113974515091715e-05
ADS,Bm5,iter1,0,0.07487077947190982,0.0008053959175967507,0.09660223815055953,1.5073820803327185e-05
ADS,Bm5,iter2,0,0.08402581379543242,0.00016852384657179982,0.10243628860907214,4.425979445606286e-06
ADS,Bm5,iter3,0,0.07795583618498814,0.0004840654486704839,0.0847302811825703,0.00014841421438769995
ADS,Bm6,iter1,0,0.06311157602106793,0.004750451834324116,0.07712464328116081,0.0005562308263133149
ADS,Bm6,iter2,0,0.07184871484981134,0.0013029945545787321,0.08483178020794506,0.00014571018553155747
ADS,Bm6,iter3,0,0.07344336634758808,0.001013064148769645,0.08699849474962368,9.793713839122618e-05
ADS,Bm7,iter1,0,0.07633704108478243,0.000633738428222726,0.10489516422379105,2.58769547701517e-06
ADS,Bm7,iter2,0,0.08864135860536972,7.202378714575786e-05,0.09429748307437076,2.4012152049528153e-05
ADS,Bm7,iter3,0,0.06875259473207249,0.0020949692937375372,0.059048588762147185,0.008256731287118919
ADS,Bm8,iter1,0,0.07038444053655313,0.0016347925837755274,0.09076798369199592,4.800705816736014e-05
ADS,Bm8,iter2,0,0.08260983777412031,0.00021693088790819692,0.08099762624940657,0.0002878250116465202
