Model,Comparison,Property,Run,Mut_alpha,KS stats,KS p-value
ADS,All duplicates,Divergence ratio,Bm05,-0.35,-0.3975220048899755,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.25,-0.3879470252648736,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.175,-0.36924205378973096,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.15,-0.36774205378973096,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.125,-0.35402200488997543,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.1,-0.35883374083129577,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.075,-0.3472669111654441,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.05,-0.3424702526487367,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,-0.01,-0.3341002444987775,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm05,0.0,-0.3260835370823146,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.35,-0.25101548492257536,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.25,-0.2566120619396903,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.175,-0.251242053789731,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.15,-0.2480537897310513,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.125,-0.2387053789731051,1.6653345369377348e-15
ADS,All duplicates,Divergence ratio,Bm1,-0.1,-0.23662876935615318,1.6653345369377348e-15
ADS,All duplicates,Divergence ratio,Bm1,-0.075,-0.23607538712306433,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.05,-0.23716707416462915,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm1,-0.01,-0.22761369193154032,2.4424906541753444e-15
ADS,All duplicates,Divergence ratio,Bm1,0.0,-0.23828198859005703,9.992007221626409e-16
ADS,All duplicates,Divergence ratio,Bm10,-0.35,-0.1957135289323553,8.664994647726113e-12
ADS,All duplicates,Divergence ratio,Bm10,-0.25,-0.19001181744091275,8.594983983793251e-11
ADS,All duplicates,Divergence ratio,Bm10,-0.175,-0.17736185819070904,3.051185933540997e-09
ADS,All duplicates,Divergence ratio,Bm10,-0.15,-0.1760484922575387,2.1297342408151585e-09
ADS,All duplicates,Divergence ratio,Bm10,-0.125,-0.17491687041564793,1.7500720132327767e-09
ADS,All duplicates,Divergence ratio,Bm10,-0.1,-0.17515851670741647,1.8737444928973446e-09
ADS,All duplicates,Divergence ratio,Bm10,-0.075,-0.16656519967400155,1.4058963733927973e-08
ADS,All duplicates,Divergence ratio,Bm10,-0.05,-0.1558785656071719,2.5658515604802073e-07
ADS,All duplicates,Divergence ratio,Bm10,-0.01,-0.14771352893235534,9.154066394530721e-07
ADS,All duplicates,Divergence ratio,Bm10,0.0,-0.14236348818255906,2.4361472995559907e-06
ADS,All duplicates,Divergence ratio,Bm2,-0.35,-0.09896780766096165,0.003150653675353667
ADS,All duplicates,Divergence ratio,Bm2,-0.25,-0.10265403422982879,0.0015215900184487334
ADS,All duplicates,Divergence ratio,Bm2,-0.175,-0.10357212713936426,0.0014119274248564333
ADS,All duplicates,Divergence ratio,Bm2,-0.15,-0.09741238793806027,0.004596755500368567
ADS,All duplicates,Divergence ratio,Bm2,-0.125,-0.10058231458842704,0.002899207361679967
ADS,All duplicates,Divergence ratio,Bm2,-0.1,-0.10155745721271393,0.0023785507147711664
ADS,All duplicates,Divergence ratio,Bm2,-0.075,-0.0887143439282803,0.0127178822455965
ADS,All duplicates,Divergence ratio,Bm2,-0.05,-0.10551059494702524,0.0012365598161097
ADS,All duplicates,Divergence ratio,Bm2,-0.01,-0.10307538712306434,0.0038749441496079666
ADS,All duplicates,Divergence ratio,Bm2,0.0,-0.10790872045639766,0.0008778293438460666
ADS,All duplicates,Divergence ratio,Bm3,-0.35,-0.08221556642216786,0.021781342480292367
ADS,All duplicates,Divergence ratio,Bm3,-0.25,-0.06988223308883453,0.07047489174901093
ADS,All duplicates,Divergence ratio,Bm3,-0.175,-0.054197229013854896,0.28468641248052323
ADS,All duplicates,Divergence ratio,Bm3,-0.15,-0.0478455582722086,0.41667081227710484
ADS,All duplicates,Divergence ratio,Bm3,-0.125,-0.04861939690301543,0.40000156932534536
ADS,All duplicates,Divergence ratio,Bm3,-0.1,-0.05146414017929907,0.3364308002121768
ADS,All duplicates,Divergence ratio,Bm3,-0.075,-0.04843887530562341,0.4074001039887958
ADS,All duplicates,Divergence ratio,Bm3,-0.05,-0.047172779136104265,0.4266063755721274
ADS,All duplicates,Divergence ratio,Bm3,-0.01,-0.0455301548492257,0.4690398388445165
ADS,All duplicates,Divergence ratio,Bm3,0.0,-0.05044335778321104,0.3557422794845167
ADS,All duplicates,Divergence ratio,Bm4,-0.35,-0.11462713936430313,0.0003014117622980333
ADS,All duplicates,Divergence ratio,Bm4,-0.25,-0.10529380603096981,0.0010151037243202666
ADS,All duplicates,Divergence ratio,Bm4,-0.175,-0.09437041564792174,0.0045635792716118
ADS,All duplicates,Divergence ratio,Bm4,-0.15,-0.09129380603096983,0.008014133984285932
ADS,All duplicates,Divergence ratio,Bm4,-0.125,-0.08771556642216786,0.014348079797833868
ADS,All duplicates,Divergence ratio,Bm4,-0.1,-0.07786389568052157,0.031027200037502867
ADS,All duplicates,Divergence ratio,Bm4,-0.075,-0.07172534637326806,0.05890952446043787
ADS,All duplicates,Divergence ratio,Bm4,-0.05,-0.06536389568052157,0.11395627837351634
ADS,All duplicates,Divergence ratio,Bm4,-0.01,-0.0481287693561532,0.40477013108730686
ADS,All duplicates,Divergence ratio,Bm4,0.0,-0.0479103504482477,0.4313091625209251
ADS,All duplicates,Divergence ratio,Bm5,-0.35,-0.14578687856560713,9.311978931281217e-07
ADS,All duplicates,Divergence ratio,Bm5,-0.25,-0.13378524857375715,1.23704460329351e-05
ADS,All duplicates,Divergence ratio,Bm5,-0.175,-0.12422697636511815,5.502088405244058e-05
ADS,All duplicates,Divergence ratio,Bm5,-0.15,-0.1174902200488997,0.0002585623135945185
ADS,All duplicates,Divergence ratio,Bm5,-0.125,-0.12170700896495514,9.220240275506734e-05
ADS,All duplicates,Divergence ratio,Bm5,-0.1,-0.10746047269763648,0.0010544540942482
ADS,All duplicates,Divergence ratio,Bm5,-0.075,-0.0984005704971475,0.0031778666218532
ADS,All duplicates,Divergence ratio,Bm5,-0.05,-0.09422860635696813,0.0050043545616171
ADS,All duplicates,Divergence ratio,Bm5,-0.01,-0.08372697636511812,0.020418599703060432
ADS,All duplicates,Divergence ratio,Bm5,0.0,-0.08051018744906267,0.026906343264562732
ADS,All duplicates,Divergence ratio,Bm6,-0.35,-0.1591585167074164,6.401452875189524e-08
ADS,All duplicates,Divergence ratio,Bm6,-0.25,-0.14221026894865524,4.022113150425888e-06
ADS,All duplicates,Divergence ratio,Bm6,-0.175,-0.1340603096984515,1.0551154971875457e-05
ADS,All duplicates,Divergence ratio,Bm6,-0.15,-0.13013202933985324,3.36558491616327e-05
ADS,All duplicates,Divergence ratio,Bm6,-0.125,-0.12973186634066827,2.5725149222277643e-05
ADS,All duplicates,Divergence ratio,Bm6,-0.1,-0.12517522412387935,5.564946278370693e-05
ADS,All duplicates,Divergence ratio,Bm6,-0.075,-0.1134103504482477,0.0007067797301845667
ADS,All duplicates,Divergence ratio,Bm6,-0.05,-0.10852363488182554,0.0006520780495148667
ADS,All duplicates,Divergence ratio,Bm6,-0.01,-0.10102852485737564,0.0021105263372294997
ADS,All duplicates,Divergence ratio,Bm6,0.0,-0.1047701711491442,0.0019864285630225333
ADS,All duplicates,Divergence ratio,Bm7,-0.35,-0.17023023634881818,5.693489531684766e-09
ADS,All duplicates,Divergence ratio,Bm7,-0.25,-0.1580668296658516,8.977771296751295e-08
ADS,All duplicates,Divergence ratio,Bm7,-0.175,-0.14843194784026073,1.2181560146521757e-06
ADS,All duplicates,Divergence ratio,Bm7,-0.15,-0.14512876935615318,1.7269078038673058e-06
ADS,All duplicates,Divergence ratio,Bm7,-0.125,-0.14234352078239607,2.892931589541329e-06
ADS,All duplicates,Divergence ratio,Bm7,-0.1,-0.13802852485737566,1.0675789729538051e-05
ADS,All duplicates,Divergence ratio,Bm7,-0.075,-0.1300969845150774,2.5106192522124832e-05
ADS,All duplicates,Divergence ratio,Bm7,-0.05,-0.12721026894865525,3.0464620179896745e-05
ADS,All duplicates,Divergence ratio,Bm7,-0.01,-0.1105101874490627,0.0006166986109520334
ADS,All duplicates,Divergence ratio,Bm7,0.0,-0.10911532192339037,0.0007117727050026667
ADS,All duplicates,Divergence ratio,Bm8,-0.35,-0.18128687856560713,3.4563574224932836e-10
ADS,All duplicates,Divergence ratio,Bm8,-0.25,-0.1685285248573757,9.429957999647817e-09
ADS,All duplicates,Divergence ratio,Bm8,-0.175,-0.16154686226568862,8.750244477144047e-08
ADS,All duplicates,Divergence ratio,Bm8,-0.15,-0.15624694376528117,1.5857908501152687e-07
ADS,All duplicates,Divergence ratio,Bm8,-0.125,-0.15971352893235527,7.224666809246827e-08
ADS,All duplicates,Divergence ratio,Bm8,-0.1,-0.14815851670741645,8.201061394430553e-07
ADS,All duplicates,Divergence ratio,Bm8,-0.075,-0.14482029339853297,1.3245868563475465e-06
ADS,All duplicates,Divergence ratio,Bm8,-0.05,-0.13263691931540333,2.1828951260460805e-05
ADS,All duplicates,Divergence ratio,Bm8,-0.01,-0.13056519967400157,3.0489804230371398e-05
ADS,All duplicates,Divergence ratio,Bm8,0.0,-0.12484352078239602,6.155057342028213e-05
ADS,All duplicates,Divergence ratio,Bm9,-0.35,-0.18532355338223302,2.8484514746907047e-10
ADS,All duplicates,Divergence ratio,Bm9,-0.25,-0.18121515892420537,2.3168122235498836e-09
ADS,All duplicates,Divergence ratio,Bm9,-0.175,-0.1695668296658516,5.319697201263314e-09
ADS,All duplicates,Divergence ratio,Bm9,-0.15,-0.17104686226568866,1.2884194711126897e-08
ADS,All duplicates,Divergence ratio,Bm9,-0.125,-0.16625020374898122,1.733806557583743e-08
ADS,All duplicates,Divergence ratio,Bm9,-0.1,-0.16234026079869598,3.15378307543431e-08
ADS,All duplicates,Divergence ratio,Bm9,-0.075,-0.15247351263243683,3.3293811037745275e-07
ADS,All duplicates,Divergence ratio,Bm9,-0.05,-0.14678361858190703,1.1613027044073596e-06
ADS,All duplicates,Divergence ratio,Bm9,-0.01,-0.13758516707416457,7.682123664864982e-06
ADS,All duplicates,Divergence ratio,Bm9,0.0,-0.13454523227383855,1.771756437881263e-05
ADS,All duplicates,Protein abundance,Bm05,-0.35,-0.09049959250203743,0.008881822998229165
ADS,All duplicates,Protein abundance,Bm05,-0.25,-0.08849959250203743,0.011111190979968133
ADS,All duplicates,Protein abundance,Bm05,-0.175,-0.08749959250203743,0.0144558307993753
ADS,All duplicates,Protein abundance,Bm05,-0.15,-0.09140383048084756,0.006875019397191266
ADS,All duplicates,Protein abundance,Bm05,-0.125,-0.0826870415647921,0.0184488336883625
ADS,All duplicates,Protein abundance,Bm05,-0.1,-0.08747595762021186,0.01648891775658143
ADS,All duplicates,Protein abundance,Bm05,-0.075,-0.09105378973105131,0.006709782662919332
ADS,All duplicates,Protein abundance,Bm05,-0.05,-0.09303096984515076,0.005858700108274067
ADS,All duplicates,Protein abundance,Bm05,-0.01,-0.09146047269763646,0.007298434251765432
ADS,All duplicates,Protein abundance,Bm05,0.0,-0.09386430317848406,0.005168681078133634
ADS,All duplicates,Protein abundance,Bm1,-0.35,-0.09048125509372447,0.007164569674014034
ADS,All duplicates,Protein abundance,Bm1,-0.25,-0.09372290138549304,0.0055098142744485
ADS,All duplicates,Protein abundance,Bm1,-0.175,-0.08566625916870411,0.012827841667375535
ADS,All duplicates,Protein abundance,Bm1,-0.15,-0.09140709046454763,0.0067798498907039
ADS,All duplicates,Protein abundance,Bm1,-0.125,-0.08577546862265684,0.012716110180247667
ADS,All duplicates,Protein abundance,Bm1,-0.1,-0.08499959250203744,0.014739865444976267
ADS,All duplicates,Protein abundance,Bm1,-0.075,-0.08705378973105127,0.010933163935071167
ADS,All duplicates,Protein abundance,Bm1,-0.05,-0.0933643031784841,0.005778553280360934
ADS,All duplicates,Protein abundance,Bm1,-0.01,-0.09143928280358597,0.0064666857038693
ADS,All duplicates,Protein abundance,Bm1,0.0,-0.08971923390383045,0.008154739369234101
ADS,All duplicates,Protein abundance,Bm10,-0.35,-0.09349959250203743,0.004910422861643834
ADS,All duplicates,Protein abundance,Bm10,-0.25,-0.0925745721271393,0.006236331310186433
ADS,All duplicates,Protein abundance,Bm10,-0.175,-0.08703219233903826,0.014110075432336533
ADS,All duplicates,Protein abundance,Bm10,-0.15,-0.08883292583537077,0.012044517336490666
ADS,All duplicates,Protein abundance,Bm10,-0.125,-0.08959168704156477,0.011680150458583635
ADS,All duplicates,Protein abundance,Bm10,-0.1,-0.09292665036674812,0.0060713264746316995
ADS,All duplicates,Protein abundance,Bm10,-0.075,-0.08753504482477582,0.010373721452348732
ADS,All duplicates,Protein abundance,Bm10,-0.05,-0.08836837815810916,0.011086768888363935
ADS,All duplicates,Protein abundance,Bm10,-0.01,-0.08905215973920123,0.0094821585437285
ADS,All duplicates,Protein abundance,Bm10,0.0,-0.08721882640586791,0.010727629694412266
