Model,Mut_alpha,Run,Parameter,p-value,Statistics,Iter
Mixed,0,Bm05,Transcription rate,0.004368171831287637,8.124056177609464,iter1
Mixed,0,Bm05,Translation rate,0.34709351835447666,0.8840547411083777,iter1
Mixed,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
Mixed,0,Bm05,Divergence ratio,1.243165261469658e-07,27.95271317307177,iter1
ADS,0,Bm05,Transcription rate,1.2471004743600721e-08,32.41206099663413,iter1
ADS,0,Bm05,Translation rate,5.3200005687372785e-12,47.56537012567718,iter1
ADS,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
ADS,0,Bm05,Divergence ratio,1.7659848882591506e-22,95.1488081382172,iter1
Minimal,0,Bm05,Transcription rate,5.591618089058292e-09,33.9718164081487,iter1
Minimal,0,Bm05,Translation rate,2.0338851122720697e-12,49.451003152870086,iter1
Minimal,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
Minimal,0,Bm05,Divergence ratio,4.6094518116428306e-23,97.80815560463842,iter1
No Cost,0,Bm05,Transcription rate,0.041547950994098,4.153524777564628,iter1
No Cost,0,Bm05,Translation rate,0.0018947623210839935,9.648791174012313,iter1
No Cost,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
No Cost,0,Bm05,Divergence ratio,2.4627211695436118e-09,35.56822488816014,iter1
Mixed,0,Bm05,Transcription rate,0.020956298810059025,5.330422970258688,iter2
Mixed,0,Bm05,Translation rate,0.07968872281847325,3.071238848540715,iter2
Mixed,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
Mixed,0,Bm05,Divergence ratio,1.2471004743600721e-08,32.41206099663413,iter2
ADS,0,Bm05,Transcription rate,2.7322181200040144e-08,30.88895865361646,iter2
ADS,0,Bm05,Translation rate,6.386263245595771e-08,29.242509347349817,iter2
ADS,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
ADS,0,Bm05,Divergence ratio,8.906902638412226e-21,87.39068414993494,iter2
Minimal,0,Bm05,Transcription rate,2.7322181200040144e-08,30.88895865361646,iter2
Minimal,0,Bm05,Translation rate,1.0201446951563292e-13,55.32782064543013,iter2
Minimal,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
Minimal,0,Bm05,Divergence ratio,1.7659848882591506e-22,95.1488081382172,iter2
No Cost,0,Bm05,Transcription rate,0.00989371736522861,6.653933436940301,iter2
No Cost,0,Bm05,Translation rate,0.0018947623210839935,9.648791174012313,iter2
No Cost,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
No Cost,0,Bm05,Divergence ratio,5.591618089058292e-09,33.9718164081487,iter2
Mixed,0,Bm05,Transcription rate,0.004368171831287637,8.124056177609464,iter3
Mixed,0,Bm05,Translation rate,0.34709351835447666,0.8840547411083777,iter3
Mixed,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
Mixed,0,Bm05,Divergence ratio,1.243165261469658e-07,27.95271317307177,iter3
ADS,0,Bm05,Transcription rate,2.4627211695436118e-09,35.56822488816014,iter3
ADS,0,Bm05,Translation rate,4.975113398045161e-10,38.68700101716597,iter3
ADS,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
ADS,0,Bm05,Divergence ratio,1.7659848882591506e-22,95.1488081382172,iter3
Minimal,0,Bm05,Transcription rate,1.243165261469658e-07,27.95271317307177,iter3
Minimal,0,Bm05,Translation rate,2.8164770595705306e-13,53.33222841274656,iter3
Minimal,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
Minimal,0,Bm05,Divergence ratio,1.7659848882591506e-22,95.1488081382172,iter3
No Cost,0,Bm05,Transcription rate,0.041547950994098,4.153524777564628,iter3
No Cost,0,Bm05,Translation rate,0.0007328067690399744,11.40413846106929,iter3
No Cost,0,Bm05,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
No Cost,0,Bm05,Divergence ratio,1.0654347119763374e-09,37.201286436668475,iter3
Mixed,0,Bm1,Transcription rate,0.33956982116428486,0.9120547466639027,iter1
Mixed,0,Bm1,Translation rate,0.6900849897176329,0.1589933727579116,iter1
Mixed,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
Mixed,0,Bm1,Divergence ratio,0.00024974021681420437,13.414098043542271,iter1
ADS,0,Bm1,Transcription rate,0.004368171831287637,8.124056177609464,iter1
ADS,0,Bm1,Translation rate,4.31958895994993e-06,21.11752814342163,iter1
ADS,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
ADS,0,Bm1,Divergence ratio,2.523218460225699e-13,53.54822845560347,iter1
Minimal,0,Bm1,Transcription rate,0.0018022330792923124,9.740791192266183,iter1
Minimal,0,Bm1,Translation rate,2.7933229809071535e-07,26.387570005386202,iter1
Minimal,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
Minimal,0,Bm1,Divergence ratio,4.794239760284531e-12,47.76937016615315,iter1
No Cost,0,Bm1,Transcription rate,0.17346876677310774,1.8527079945250151,iter1
No Cost,0,Bm1,Translation rate,0.030879533536741728,4.659647326964871,iter1
No Cost,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
No Cost,0,Bm1,Divergence ratio,0.00024974021681420437,13.414098043542271,iter1
Mixed,0,Bm1,Transcription rate,0.41242133878944276,0.6718098010373078,iter2
Mixed,0,Bm1,Translation rate,0.6900849897176329,0.1589933727579116,iter2
Mixed,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
Mixed,0,Bm1,Divergence ratio,0.0006944140790208285,11.504138480910449,iter2
ADS,0,Bm1,Transcription rate,0.0004200576801101104,12.440791727977913,iter2
ADS,0,Bm1,Translation rate,8.195749441436934e-06,19.891650349172707,iter2
ADS,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
ADS,0,Bm1,Divergence ratio,9.121289658993742e-14,55.54782068908068,iter2
Minimal,0,Bm1,Transcription rate,0.0011283483098945622,10.604138302339873,iter2
Minimal,0,Bm1,Translation rate,1.5278800413688168e-05,18.702425623420673,iter2
Minimal,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
Minimal,0,Bm1,Divergence ratio,9.121289658993742e-14,55.54782068908068,iter2
No Cost,0,Bm1,Transcription rate,0.22028650629969113,1.5025038434077564,iter2
No Cost,0,Bm1,Translation rate,0.015124975876593796,5.901851655065416,iter2
No Cost,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
No Cost,0,Bm1,Divergence ratio,0.00014592616083559297,14.424057427603511,iter2
Mixed,0,Bm1,Transcription rate,0.134518800005224,2.2395652141391618,iter3
Mixed,0,Bm1,Translation rate,0.6900849897176329,0.1589933727579116,iter3
Mixed,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
Mixed,0,Bm1,Divergence ratio,0.00024974021681420437,13.414098043542271,iter3
ADS,0,Bm1,Transcription rate,1.4286976812894014e-05,18.830425648817357,iter3
ADS,0,Bm1,Translation rate,5.68836750901159e-07,25.01507993714973,iter3
ADS,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
ADS,0,Bm1,Divergence ratio,3.238383804115471e-14,57.58406599105479,iter3
Minimal,0,Bm1,Transcription rate,2.6220612639787377e-05,17.673853990768563,iter3
Minimal,0,Bm1,Translation rate,5.68836750901159e-07,25.01507993714973,iter3
Minimal,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
Minimal,0,Bm1,Divergence ratio,9.121289658993742e-14,55.54782068908068,iter3
No Cost,0,Bm1,Transcription rate,0.41242133878944276,0.6718098010373078,iter3
No Cost,0,Bm1,Translation rate,0.07968872281847325,3.071238848540715,iter3
No Cost,0,Bm1,Protein abundance,0.10270198122930291,2.6630755022501966,iter3
No Cost,0,Bm1,Divergence ratio,0.0006944140790208285,11.504138480910449,iter3
Mixed,0,Bm2,Transcription rate,0.994106191419934,5.456571238548088e-05,iter1
Mixed,0,Bm2,Translation rate,0.41242133878944276,0.6718098010373078,iter1
Mixed,0,Bm2,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
Mixed,0,Bm2,Divergence ratio,0.8864778401970556,0.020381100357652678,iter1
ADS,0,Bm2,Transcription rate,0.41242133878944276,0.6718098010373078,iter1
ADS,0,Bm2,Translation rate,0.02179066203846969,5.262422956766699,iter1
ADS,0,Bm2,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
ADS,0,Bm2,Divergence ratio,0.00024974021681420437,13.414098043542271,iter1
Minimal,0,Bm2,Transcription rate,0.41242133878944276,0.6718098010373078,iter1
Minimal,0,Bm2,Translation rate,0.0018947623210839935,9.648791174012313,iter1
Minimal,0,Bm2,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
Minimal,0,Bm2,Divergence ratio,2.6220612639787377e-05,17.673853990768563,iter1
No Cost,0,Bm2,Transcription rate,0.7922698809993411,0.06936070191251494,iter1
No Cost,0,Bm2,Translation rate,0.5932617918204881,0.2852791121001962,iter1
No Cost,0,Bm2,Protein abundance,0.10270198122930291,2.6630755022501966,iter1
No Cost,0,Bm2,Divergence ratio,0.994106191419934,5.456571238548088e-05,iter1
Mixed,0,Bm2,Transcription rate,0.8864778401970556,0.020381100357652678,iter2
Mixed,0,Bm2,Translation rate,0.8864778401970556,0.020381100357652678,iter2
Mixed,0,Bm2,Protein abundance,0.10270198122930291,2.6630755022501966,iter2
Mixed,0,Bm2,Divergence ratio,0.8864778401970556,0.020381100357652678,iter2
ADS,0,Bm2,Transcription rate,0.41242133878944276,0.6718098010373078,iter2
