Model,Parameter,Log2 fold-change
Mixed,Transcription rate,0.296139834985824
Mixed,Transcription rate,1.4369552878002727
Mixed,Transcription rate,3.113040048601077
Mixed,Transcription rate,0.6053550202709108
Mixed,Transcription rate,2.7727033197588193
Mixed,Transcription rate,0.36878720422716715
Mixed,Transcription rate,1.727838851232967
Mixed,Transcription rate,0.42877746007914264
Mixed,Transcription rate,0.41595572661572083
Mixed,Transcription rate,4.252372854708032
Mixed,Transcription rate,0.9280253948774201
Mixed,Transcription rate,0.19938572518420367
Mixed,Transcription rate,1.4826461486825568
Mixed,Transcription rate,2.8749736933011865
Mixed,Transcription rate,1.032873225247155
Mixed,Transcription rate,0.1507063990747393
Mixed,Transcription rate,1.2009757079132244
Mixed,Transcription rate,2.2238407887421006
Mixed,Transcription rate,3.9621008407564817
Mixed,Transcription rate,0.5625727176092599
Mixed,Transcription rate,0.01723308518432295
Mixed,Transcription rate,3.0453514678227265
Mixed,Transcription rate,2.0635489775496696
Mixed,Transcription rate,2.759839841557012
Mixed,Transcription rate,4.75488761121611
Mixed,Transcription rate,2.620369863867444
Mixed,Transcription rate,3.780412451435533
Mixed,Transcription rate,0.46933659578134357
Mixed,Transcription rate,2.505645750397633
Mixed,Transcription rate,0.8166669286997783
Mixed,Transcription rate,1.6148452510440676
Mixed,Transcription rate,2.8215226626699605
Mixed,Transcription rate,0.3885852946104753
Mixed,Transcription rate,1.5071295612952402
Mixed,Transcription rate,0.1073405442696982
Mixed,Transcription rate,1.9093788484319787
Mixed,Transcription rate,2.2721220138149794
Mixed,Transcription rate,0.2464582360199579
Mixed,Transcription rate,2.3755217167465634
Mixed,Transcription rate,0.06812326195227394
Mixed,Transcription rate,0.05599223186516292
Mixed,Transcription rate,0.8037517904279994
Mixed,Transcription rate,1.0971581156760426
Mixed,Transcription rate,0.7313790571553689
Mixed,Transcription rate,1.3248043438828012
Mixed,Transcription rate,5.027812423569895
Mixed,Transcription rate,2.0376425219145546
Mixed,Transcription rate,3.188428094164667
Mixed,Transcription rate,1.2165703974334212
Mixed,Transcription rate,0.33435825921883927
Mixed,Transcription rate,2.391170946611305
Mixed,Transcription rate,0.7030519484590101
Mixed,Transcription rate,2.6371605856711176
Mixed,Transcription rate,0.5214590073219186
Mixed,Transcription rate,2.757250870429946
Mixed,Transcription rate,0.4494705643644388
Mixed,Transcription rate,1.2116719527788358
Mixed,Transcription rate,1.9243244989074664
Mixed,Transcription rate,0.022180035943728665
Mixed,Transcription rate,2.2946924354421574
Mixed,Transcription rate,2.556900654740619
Mixed,Transcription rate,1.7235945538682576
Mixed,Transcription rate,1.1531645660050664
Mixed,Transcription rate,2.0388487195212477
Mixed,Transcription rate,0.01795845344716204
