Model,Parameter,Log2 fold-change
Mixed,Transcription rate,0.635930132187936
Mixed,Transcription rate,0.052636916667768
Mixed,Transcription rate,0.0868517079849651
Mixed,Transcription rate,1.618234387735741
Mixed,Transcription rate,0.506022464532388
Mixed,Transcription rate,0.8786452410055712
Mixed,Transcription rate,0.8912388706934843
Mixed,Transcription rate,1.8808995941121447
Mixed,Transcription rate,0.17576611002338666
Mixed,Transcription rate,3.754091304205941
Mixed,Transcription rate,1.0717498647671932
Mixed,Transcription rate,0.010181596132949075
Mixed,Transcription rate,2.0968800266343157
Mixed,Transcription rate,1.4751225498378453
Mixed,Transcription rate,0.5446430963414302
Mixed,Transcription rate,0.685373468543787
Mixed,Transcription rate,0.7406150472911407
Mixed,Transcription rate,0.24884036676077426
Mixed,Transcription rate,2.8326651781602314
Mixed,Transcription rate,0.9397856251199769
Mixed,Transcription rate,0.02158131648569005
Mixed,Transcription rate,3.2916453109614885
Mixed,Transcription rate,0.22282735605637768
Mixed,Transcription rate,2.392459006734467
Mixed,Transcription rate,2.223790299372973
Mixed,Transcription rate,3.974647587551194
Mixed,Transcription rate,1.1471590734851207
Mixed,Transcription rate,1.395067535993195
Mixed,Transcription rate,0.632226303371525
Mixed,Transcription rate,0.8576271383715137
Mixed,Transcription rate,1.6409131582010463
Mixed,Transcription rate,1.0035096153788936
Mixed,Transcription rate,0.8173602545041999
Mixed,Transcription rate,3.5227300831008006
Mixed,Transcription rate,0.39766265025170794
Mixed,Transcription rate,2.38585149692958
Mixed,Transcription rate,2.350290384149294
Mixed,Transcription rate,0.14328118852697438
Mixed,Transcription rate,1.6828031454418821
Mixed,Transcription rate,0.0007333420801655705
Mixed,Transcription rate,5.10177234892733
Mixed,Transcription rate,2.407953548878339
Mixed,Transcription rate,3.15238126987426
Mixed,Transcription rate,1.8393529866477825
Mixed,Transcription rate,1.54339818240328
Mixed,Transcription rate,2.6196146258827766
Mixed,Transcription rate,0.3739369236987096
Mixed,Transcription rate,1.1385759536729523
Mixed,Transcription rate,0.00036898255309132845
Mixed,Transcription rate,0.8868354882007672
Mixed,Transcription rate,1.1553276787957747
Mixed,Transcription rate,0.03105727397345536
Mixed,Transcription rate,2.209557795460817
Mixed,Transcription rate,1.900786931634715
Mixed,Transcription rate,1.2790138173538435
Mixed,Transcription rate,1.8906100389861062
Mixed,Transcription rate,1.047653047880444
Mixed,Transcription rate,0.6220193663378466
Mixed,Transcription rate,0.3002197163384689
Mixed,Transcription rate,0.6793766397736529
Mixed,Transcription rate,1.6418035010497345
Mixed,Transcription rate,1.2282097958273368
Mixed,Transcription rate,0.6437113643049319
Mixed,Transcription rate,2.00697434363523
Mixed,Transcription rate,0.3374253404709907
Mixed,Transcription rate,1.3852560873448394
Mixed,Transcription rate,0.26283188826999004
Mixed,Transcription rate,4.038327744031763
Mixed,Transcription rate,0.03835538137972936
Mixed,Transcription rate,1.0702416137550714
Mixed,Transcription rate,2.096813313927124
