Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Type,rho_fold,p-val_fold,rho_signed,p-val_signed,rho_ratio,p-val_ratio
Mixed,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,All,0.7922091725134677,0.0,0.4253063505790252,7.440923629127127e-219,0.2190347962615674,1.5498553755608854e-28
Mixed,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,True duplicates,0.3040473137675183,9.591137595767911e-35,0.0121121590057738,0.440321847384557,0.9306636614822053,0.0
No Cost,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,All,0.8309335358293658,0.0,0.4448524354463993,1.201030442305349e-241,-0.3894170343387255,2.539630006136339e-91
No Cost,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,True duplicates,0.3758992042971643,2.5741885409441995e-49,-0.0630778614866855,7.541349391752718e-05,0.0993911109263161,0.0001642313250909
ADS,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,All,0.735058299753328,0.0,0.3208745431949836,4.183799698789032e-120,-0.4857915972146556,3.193939433602867e-148
ADS,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,True duplicates,0.436196266300398,8.292842184180065e-76,-0.0665410858028209,1.9559978098381426e-05,-0.2051024059321676,9.22156906919421e-17
Minimal,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,All,0.7286898438223752,0.0,0.3105845322276114,2.942640327079621e-112,-0.4733978854076617,7.776303646029494e-140
Minimal,0.1,0.5,0,0,Bm05_iter1,10_percent,Mut_SD_SSD,True duplicates,0.4363458708125463,1.3747308967181506e-75,-0.0506019791322224,0.0011820642525004,-0.2130703722183351,6.203185393545549e-18
Mixed,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,All,0.7730544522647125,0.0,0.4030066509503876,1.2496502492364055e-194,0.696588636766182,0.0
Mixed,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,True duplicates,0.2239624609547452,7.194816253239106e-19,-0.0102328566892157,0.5159623973231562,0.9344111239974242,0.0
No Cost,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,All,0.8285765403802465,0.0,0.4327634843164833,2.252514630458249e-227,0.384030293764847,1.1700889666825018e-88
No Cost,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4194740774258601,3.214609556007659e-63,-0.0599319086832494,0.0001615067072753,0.1754750682025265,1.5096771818320098e-11
ADS,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,All,0.7556437888710063,0.0,0.3428477864990236,6.353063753714033e-138,0.004636206309793,0.8167744267617089
ADS,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4473168010875297,2.469737624513367e-78,-0.0638772761690972,4.4925610684702305e-05,-0.0059985736307823,0.8119787097749543
Minimal,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,All,0.7108705644272904,0.0,0.307859417299531,3.12631000131757e-110,0.0255013319522131,0.2024380406064629
Minimal,0.1,1.0,0,0,Bm1_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4647268489958188,1.232881847541335e-87,-0.0658170205868226,2.3532975869081308e-05,-0.003679967991018,0.8823050676092603
Mixed,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,All,0.7632972695195633,0.0,0.3109477660264937,1.574054474885743e-112,0.9103480816556933,0.0
Mixed,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,True duplicates,0.2857742189179732,4.108395856561282e-31,-0.0215643981556328,0.1683580041052911,0.9380401147727292,0.0
No Cost,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,All,0.8021893655982987,0.0,0.3677549709382999,6.078935699539695e-160,0.7579712877394061,0.0
No Cost,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4114837828094253,2.5456050973045832e-61,-0.0739283659415108,3.0810942381690683e-06,0.3104870695774405,2.6355049999978883e-34
ADS,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,All,0.7431549564087931,0.0,0.2921835376717664,5.455714201602843e-99,0.4906485382797662,1.3255926902460367e-151
ADS,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4584643288576732,1.8719219833480605e-83,-0.0803007532235181,2.715133325554584e-07,0.1623263260819728,7.471843935772081e-11
Minimal,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,All,0.7375522250163561,0.0,0.2832948660764395,6.354120381732715e-93,0.4948241741478679,1.4822571959003387e-154
Minimal,0.1,2.0,0,0,Bm2_iter2,10_percent,Mut_SD_SSD,True duplicates,0.5015308538590884,7.47647196028961e-103,-0.0929472113046562,2.4492792614324043e-09,0.211013082852179,1.363813118347315e-17
Mixed,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,All,0.6871929862388779,0.0,0.1631178550711889,3.704002572665571e-31,0.9754257908841266,0.0
Mixed,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,True duplicates,0.2989590571946582,4.551917415744799e-35,-0.0504946931285507,0.0011650009245497,0.9337235354168606,0.0
No Cost,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,All,0.6890418774147005,0.0,0.0901963121240261,1.666754765178659e-10,0.9108931858709098,0.0
No Cost,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,True duplicates,0.3474987438072209,2.5332347975283577e-44,-0.0652353319882211,3.499816048421893e-05,0.6323037126923146,2.845419263264076e-170
ADS,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,All,0.6855663443146152,0.0,0.2174814992316368,1.3392762515164467e-54,0.8433471403755426,0.0
ADS,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,True duplicates,0.4415791232420457,3.1544864307563266e-79,-0.0456425699313485,0.0033095963726393,0.5743138969514895,1.5035143338932025e-144
Minimal,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,All,0.7168333534773367,0.0,0.2274491062049456,1.105632648319406e-59,0.8731394403103107,0.0
Minimal,0.1,8.0,0,0,Bm8_iter3,10_percent,Mut_SD_SSD,True duplicates,0.4331789721939685,1.1155618274110952e-73,-0.0410551072062806,0.0086500213518633,0.6066604237481863,2.3284473137859043e-160
Mixed,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,All,0.7321471146475385,0.0,0.292012233866557,7.175430272245057e-99,0.9550022944963672,0.0
Mixed,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,True duplicates,0.2587068938189623,7.252538770884353e-26,-0.0181341916188507,0.2457417343074267,0.9447708615600646,0.0
No Cost,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,All,0.781687180685949,0.0,0.3329884158164451,9.5459020262955e-130,0.8463050390888064,0.0
No Cost,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,True duplicates,0.3972467019961513,1.3536190799924472e-55,-0.0872723454884566,4.1097310485343764e-08,0.4291888845180761,1.4483219092250737e-65
ADS,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,All,0.7304361954617914,0.0,0.2781281803601281,1.6922213825413906e-89,0.6673189670590348,4.94e-322
ADS,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4529259677894471,2.656487775184033e-81,-0.0677952209388326,1.4253879204592011e-05,0.3372953378540771,1.2519100627081657e-43
Minimal,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,All,0.7243164486906318,0.0,0.2758737613449276,5.013212148711568e-88,0.639848542695767,5.4528978378466436e-288
Minimal,0.1,3.0,0,0,Bm3_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4844210503263186,6.643692861727019e-96,-0.0660592160166664,2.2157570429794696e-05,0.2894336594427334,1.4167151053247514e-32
Mixed,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,All,0.7168102397456384,0.0,0.1705253392666047,6.1737905677613815e-34,0.9762527718804436,0.0
Mixed,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,True duplicates,0.318236570041008,9.988736884470778e-39,-0.0450341041188398,0.0039729741418705,0.9408031979518904,0.0
No Cost,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,All,0.6919939746550361,0.0,0.0441976913327196,0.0017720466877657,0.907581830461093,0.0
No Cost,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,True duplicates,0.3699693435029825,4.077042438029943e-51,-0.038949127164906,0.0133045308777634,0.6271365090953073,5.322806758888609e-169
ADS,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,All,0.720837274501964,0.0,0.2152854869170715,1.6343204807364002e-53,0.8785336427733829,0.0
ADS,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,True duplicates,0.493025972480074,1.873981252666236e-100,-0.027027361364246,0.0825132642725272,0.6505993138272321,1.4044882161739897e-196
Minimal,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,All,0.7148651772904285,0.0,0.2038737243444483,4.643542180100551e-48,0.8760061536009847,0.0
Minimal,0.1,9.0,0,0,Bm9_iter3,10_percent,Mut_SD_SSD,True duplicates,0.4749415536063288,1.5766078928974642e-90,-0.0663239202786916,2.1607829289569823e-05,0.6488008585948456,3.1338153336364805e-191
Mixed,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,All,0.7370547014807525,0.0,0.2331848167973561,1.011077729502732e-62,0.9637077271852365,0.0
Mixed,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,True duplicates,0.2807518353879468,2.589327335831077e-30,-0.0492274492070071,0.0016221695953031,0.9438894712571062,0.0
No Cost,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,All,0.7591272362123579,0.0,0.2732332668535207,2.547747052664438e-86,0.8682292008046723,0.0
No Cost,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4026991127873066,2.4371602327066338e-58,-0.0616562956287472,0.0001017706185245,0.4755554168263736,1.0587680787953264e-83
ADS,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,All,0.7086021485763438,0.0,0.2486877141850498,2.339415331746659e-71,0.7276353612216578,0.0
ADS,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4493677203168464,3.48043227902178e-81,-0.0580038697643537,0.0001962799774708,0.4096925992011426,1.7686628192994392e-66
Minimal,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,All,0.6970585929373749,0.0,0.2255954950639332,1.018207870776255e-58,0.7113437500390002,0.0
Minimal,0.1,4.0,0,0,Bm4_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4649421211619593,2.528982774410031e-90,-0.0658061262259613,2.111122196719888e-05,0.4552511163844704,3.232471525526509e-86
Mixed,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,All,0.7288658464105354,0.0,0.22654716285813,3.264940517757222e-59,0.970485517965683,0.0
Mixed,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,True duplicates,0.3116878227881369,8.787281534315645e-37,-0.0456396382497215,0.0035757534828599,0.944709261359424,0.0
No Cost,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,All,0.743388943006231,0.0,0.2382046548832002,1.8896202475048965e-65,0.8811068748011001,0.0
No Cost,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,True duplicates,0.3615084736391401,3.0196822955778373e-46,-0.0461176549272488,0.0037077563492946,0.476297870904001,1.965455673036577e-83
ADS,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,All,0.708516137170582,0.0,0.2440360371350513,1.0604899027952091e-68,0.7974842888774863,0.0
ADS,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4461126660410294,1.3428244678347018e-78,-0.0540277741982881,0.0005468075759695,0.4656537983230848,2.2520451979597915e-86
Minimal,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,All,0.6975074513771923,0.0,0.2384428774332296,1.3972959093303441e-65,0.7878218573794972,0.0
Minimal,0.1,5.0,0,0,Bm5_iter2,10_percent,Mut_SD_SSD,True duplicates,0.4617072184928943,5.912601285409373e-87,-0.0610396822309618,8.631867801518784e-05,0.4977037620606353,7.119817316968042e-103
Mixed,0.1,10.0,0,0,Bm10_iter2,10_percent,Mut_SD_SSD,All,0.7179557286083066,0.0,0.1713042493917636,3.096970504256607e-34,0.9790095390415264,0.0
Mixed,0.1,10.0,0,0,Bm10_iter2,10_percent,Mut_SD_SSD,True duplicates,0.3568033575345264,1.572012875467559e-49,-0.0877850654209571,1.7302770926743872e-08,0.9433542195697568,0.0
No Cost,0.1,10.0,0,0,Bm10_iter2,10_percent,Mut_SD_SSD,All,0.6857142104502738,0.0,0.0322874228939446,0.0224250707872787,0.9145102890416464,0.0
No Cost,0.1,10.0,0,0,Bm10_iter2,10_percent,Mut_SD_SSD,True duplicates,0.3683968911681324,2.3184586566431335e-49,-0.0354959878094268,0.0248061950074839,0.6217463843269782,5.879187844035353e-161
