Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,All,63.87331953298141,0.0046382809722058565,0.2523110024449877,1.5332258178691855e-11
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,60.87449249979856,6.349641180901105e-05,0.2636031780574081,5.049785064252256e-13
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD_1e5,SSD,All,20.590770731707316,0.03143077740836061,0.25551219512195117,4.904175317915079e-06
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,20.013216702847657,0.0031253817988569437,0.2612294087600562,0.00010246858571345144
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD_1e5,WGD,All,45.53125807042105,0.026704869922503496,0.26888163265306114,5.25984686048453e-07
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,44.22965330812335,0.0017591144495948008,0.2814033728674715,8.892847775422588e-11
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,All,58.668636277349655,0.004638280980136611,0.24783129584352076,2.7573927562791016e-12
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,55.5786315928174,0.0003169118548058392,0.2538646244482088,1.1690087974170308e-12
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD_1e5,SSD,All,19.22628292682927,0.03144910271720136,0.25185365853658537,1.14508717378513e-05
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,18.248137434446015,0.007372748047330599,0.25460178556563723,0.00011396793920774877
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD_1e5,WGD,All,44.581951821986266,0.026704869923250656,0.26282040816326524,1.8753929371601148e-07
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,42.33402662750008,0.0038427164758901636,0.27000504980149054,6.809789706854999e-10
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_SSD_1e5,All duplicates,All,60.50565360934708,0.004638280971454594,0.2500320293398533,7.371215790142493e-13
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,57.33990200988795,0.00014898673605196546,0.2566056496265808,1.7453748152792102e-11
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_SSD_1e5,SSD,All,20.200917073170732,0.03141605942276673,0.2581121951219512,1.7257553075246907e-05
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,19.19260545752626,0.0047785152862410245,0.261692713559877,0.0003045118526329581
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_SSD_1e5,WGD,All,44.89238451624611,0.026704866327168474,0.2629591836734694,8.440178309759574e-08
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,42.97111038438763,0.002667819357141451,0.27015493941188423,4.764971604206595e-10
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,All,28.703801440518205,0.004640104009262784,0.19114352078239605,1.2834659461920923e-09
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,30.533912236135805,9.790361143420372e-05,0.20186270584326518,1.7480892270473273e-07
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_SSD_1e5,SSD,All,6.192175609756097,0.0386310250493928,0.19685365853658532,0.0015185160195043752
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,7.219076655052265,0.021451099772249474,0.2051393728222996,0.00838548204096313
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_SSD_1e5,WGD,All,23.62759802065119,0.026778418062957606,0.20236326530612242,8.986044506046309e-07
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,25.17398815295772,0.0026187388354496017,0.2166562966650074,1.8751111646102607e-07
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,All,22.11005396205902,0.004707952483555977,0.1732973105134474,4.7337810040139325e-08
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,22.91646595706154,0.00015087037270629727,0.18259210859118113,7.443337378506418e-06
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_SSD_1e5,SSD,All,5.529424390243902,0.041939354099732644,0.18261219512195115,0.005454981701492948
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,5.738635407905804,0.039051676389435776,0.19265664423885612,0.031172160662224377
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_SSD_1e5,WGD,All,19.100430072895836,0.027914408763854044,0.18511428571428568,8.18468738142164e-06
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,20.256624123140583,0.0026956096089731226,0.196685872624912,3.545030685648027e-06
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_SSD_1e5,All duplicates,All,27.848749994732266,0.004707911750714827,0.1903215158924205,1.2974455480137778e-09
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,29.990427088458183,6.720101087729301e-05,0.20395077367694786,8.927292178534738e-09
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_SSD_1e5,SSD,All,6.179180487804878,0.03805616778274505,0.1941097560975609,0.0008727877045408564
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,6.871273551743212,0.016249632097510323,0.20583593275915296,0.006798115743351245
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_SSD_1e5,WGD,All,23.208006128230963,0.02749535642385117,0.20589795918367343,6.738252460355332e-06
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,25.459624618070713,0.0018177346405268836,0.22141476407236832,1.1722443775185632e-08
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,All,6.930177351605102,0.027502098218464326,0.13196845965770165,0.0003239244495862454
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,11.05674683734403,0.007915799108693514,0.15806770336453219,0.002047776695101762
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_SSD_1e5,SSD,All,1.4229658536585366,0.3689102014661332,0.13976097560975606,0.1825794659571258
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,2.8055374860270517,0.3563572132240409,0.16867785585721518,0.127051376785046
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_SSD_1e5,WGD,All,7.0800529674247,0.1518081406392734,0.1397367346938775,0.0007586071232800983
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,10.38148746020724,0.02176426496759841,0.16348895722672627,0.00030242060571538076
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,All,6.130335692294479,0.028899576265354377,0.12873349633251827,0.0011306675849780117
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,8.14708113010411,0.015292865502392824,0.14358203968199246,0.005771793089418559
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_SSD_1e5,SSD,All,1.3969756097560975,0.3994094510262815,0.14063414634146337,0.15422452790960073
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,2.3843765973705984,0.3690417377967039,0.16059930691497798,0.1121446816778405
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_SSD_1e5,WGD,All,6.195971217442001,0.13181805671599228,0.13365918367346938,0.0014218714539390557
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,7.446013546416398,0.0498652807556203,0.149966797999026,0.0009824564655326552
ADS,0.01,2.0,0,0,Bm2_iter3,1_percent,Mut_SD_SSD_1e5,All duplicates,All,5.475943438924879,0.03333954465382672,0.1309660146699266,0.014255548377198392
ADS,0.01,2.0,0,0,Bm2_iter3,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,7.765048216768443,0.06317194407964671,0.14902248139257349,0.0364609176436636
ADS,0.01,2.0,0,0,Bm2_iter3,1_percent,Mut_SD_SSD_1e5,SSD,All,1.5269268292682925,0.4244288871659496,0.15157804878048775,0.09728062915604294
ADS,0.01,2.0,0,0,Bm2_iter3,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,2.1881608851541796,0.3353087805147684,0.17320281718408348,0.07653026319731264
ADS,0.01,2.0,0,0,Bm2_iter3,1_percent,Mut_SD_SSD_1e5,WGD,All,5.431611932327689,0.11467521690704936,0.13507142857142854,0.0024924784797140448
ADS,0.01,2.0,0,0,Bm2_iter3,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,6.564403708646733,0.049727866177113826,0.15436181401967453,0.006279024061239965
ADS,0.01,3.0,0,0,Bm3_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,All,1.710914143150169,0.4227510322525797,0.11779144254278728,0.01141083326117621
ADS,0.01,3.0,0,0,Bm3_iter1,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,5.030902857869283,0.22703363749906535,0.14321740891295537,0.005596902127801078
ADS,0.01,3.0,0,0,Bm3_iter1,1_percent,Mut_SD_SSD_1e5,SSD,All,1.2540292682926828,0.40180621637042335,0.14127073170731705,0.049566954292621375
ADS,0.01,3.0,0,0,Bm3_iter1,1_percent,Mut_SD_SSD_1e5,SSD,True duplicates,2.7123458241593807,0.32600242615909114,0.16623602530942047,0.02276506516618621
ADS,0.01,3.0,0,0,Bm3_iter1,1_percent,Mut_SD_SSD_1e5,WGD,All,1.2613746441867704,0.4581543280728598,0.1134755102040816,0.03233040178508905
ADS,0.01,3.0,0,0,Bm3_iter1,1_percent,Mut_SD_SSD_1e5,WGD,True duplicates,3.3185105153164898,0.13471071915398725,0.1345655440090146,0.05116811618059064
ADS,0.01,3.0,0,0,Bm3_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,All,1.5832896781908505,0.5567654570440984,0.12564278728606354,0.00627973276994961
ADS,0.01,3.0,0,0,Bm3_iter2,1_percent,Mut_SD_SSD_1e5,All duplicates,True duplicates,4.0375472261715,0.32655275888723045,0.14633462608549022,0.004090633403955113
