Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
ADS,0.025,1.0,0,0,Bm1_iter1,effect_16,Dupli_effect,All duplicates,All,29.13045968164608,0.00463966797479216,0.15590586797066014,0.001596461056407463
ADS,0.025,1.0,0,0,Bm1_iter1,effect_16,Dupli_effect,All duplicates,True duplicates,31.228187883242082,0.0004883056498507384,0.17202224047473508,1.061121743198433e-05
ADS,0.025,1.0,0,0,Bm1_iter1,effect_16,Dupli_effect,SSD,All,6.569034146341463,0.03988916313057338,0.15725609756097558,0.0167189390874523
ADS,0.025,1.0,0,0,Bm1_iter1,effect_16,Dupli_effect,SSD,True duplicates,7.465605945121951,0.1201667669406907,0.17507727811653112,0.029096424336862894
ADS,0.025,1.0,0,0,Bm1_iter1,effect_16,Dupli_effect,WGD,All,24.213410343294388,0.026714307128708578,0.17543061224489792,0.010471028735054658
ADS,0.025,1.0,0,0,Bm1_iter1,effect_16,Dupli_effect,WGD,True duplicates,25.871899440448654,0.0003509891234020409,0.1901156816893424,8.852484099684197e-05
ADS,0.025,1.0,0,0,Bm1_iter1,effect_187,Dupli_effect,All duplicates,All,27.369947004166093,0.004668093792076545,0.15313863080684592,0.002408231167988647
ADS,0.025,1.0,0,0,Bm1_iter1,effect_187,Dupli_effect,All duplicates,True duplicates,30.51177820525479,5.552420182388489e-05,0.17101957486279,1.8935589745692993e-06
ADS,0.025,1.0,0,0,Bm1_iter1,effect_187,Dupli_effect,SSD,All,6.140195121951219,0.0323771082912455,0.15267073170731701,0.029933991989364486
ADS,0.025,1.0,0,0,Bm1_iter1,effect_187,Dupli_effect,SSD,True duplicates,6.6587817670134735,0.060477793844841275,0.1708676232304281,0.017356210544850564
ADS,0.025,1.0,0,0,Bm1_iter1,effect_187,Dupli_effect,WGD,All,22.729671370871905,0.027213172195156683,0.17318571428571428,0.01203468496241249
ADS,0.025,1.0,0,0,Bm1_iter1,effect_187,Dupli_effect,WGD,True duplicates,24.959261948470175,0.001174579171748471,0.18830098472955611,6.177618144863257e-05
ADS,0.025,1.0,0,0,Bm1_iter1,effect_2,Dupli_effect,All duplicates,All,26.559435416944225,0.0046443908900760614,0.1520579462102689,0.0017930808456822162
ADS,0.025,1.0,0,0,Bm1_iter1,effect_2,Dupli_effect,All duplicates,True duplicates,29.829326107480902,0.0018670222395254855,0.164459415772098,3.370768262879713e-05
ADS,0.025,1.0,0,0,Bm1_iter1,effect_2,Dupli_effect,SSD,All,5.815317073170731,0.04093160359477028,0.15281463414634144,0.025281902255472576
ADS,0.025,1.0,0,0,Bm1_iter1,effect_2,Dupli_effect,SSD,True duplicates,6.332792277134679,0.1756657018367719,0.1723175003203622,0.013395782567101359
ADS,0.025,1.0,0,0,Bm1_iter1,effect_2,Dupli_effect,WGD,All,22.872202002032548,0.026780786403702468,0.17383061224489793,0.004728937184352473
ADS,0.025,1.0,0,0,Bm1_iter1,effect_2,Dupli_effect,WGD,True duplicates,25.398584575630206,0.00038852858435575727,0.1819972121948604,0.0002724395074079469
ADS,0.025,1.0,0,0,Bm1_iter1,effect_225,Dupli_effect,All duplicates,All,28.273763247890685,0.004639604935091666,0.1517102689486552,0.002643049198033269
ADS,0.025,1.0,0,0,Bm1_iter1,effect_225,Dupli_effect,All duplicates,True duplicates,30.1850929641541,0.0018193280424231033,0.16258124524094852,5.621725449283644e-05
ADS,0.025,1.0,0,0,Bm1_iter1,effect_225,Dupli_effect,SSD,All,5.971258536585365,0.035967073259827675,0.15329999999999994,0.02442497387147848
ADS,0.025,1.0,0,0,Bm1_iter1,effect_225,Dupli_effect,SSD,True duplicates,6.904774481499105,0.1474144584955527,0.17084388320887148,0.014692191827679684
ADS,0.025,1.0,0,0,Bm1_iter1,effect_225,Dupli_effect,WGD,All,22.921099967705647,0.02674958394191153,0.17041836734693877,0.013361332981234222
ADS,0.025,1.0,0,0,Bm1_iter1,effect_225,Dupli_effect,WGD,True duplicates,24.858090410934413,0.00038834827723951396,0.18109898361447074,0.0003907872064951205
ADS,0.025,1.0,0,0,Bm1_iter2,effect_16,Dupli_effect,All duplicates,All,24.400534428327433,0.004673189136321599,0.14712713936430313,0.0019575616748397588
ADS,0.025,1.0,0,0,Bm1_iter2,effect_16,Dupli_effect,All duplicates,True duplicates,27.374126548002362,0.0019144708683503891,0.16206220429936807,8.65952585519113e-06
ADS,0.025,1.0,0,0,Bm1_iter2,effect_16,Dupli_effect,SSD,All,5.5684097560975605,0.04122934268279745,0.14920975609756093,0.018706557644704896
ADS,0.025,1.0,0,0,Bm1_iter2,effect_16,Dupli_effect,SSD,True duplicates,6.119042339774047,0.14735782344483936,0.1677198817442719,0.023796456741869604
ADS,0.025,1.0,0,0,Bm1_iter2,effect_16,Dupli_effect,WGD,All,21.47641406169052,0.027215540535928725,0.16391020408163262,0.012121106211967545
ADS,0.025,1.0,0,0,Bm1_iter2,effect_16,Dupli_effect,WGD,True duplicates,23.421690120513148,0.0013714450971106002,0.17752009894867032,0.00011292503117300587
ADS,0.025,1.0,0,0,Bm1_iter2,effect_187,Dupli_effect,All duplicates,All,28.60462685667147,0.004641275784807186,0.1536980440097799,0.0038551319518777428
ADS,0.025,1.0,0,0,Bm1_iter2,effect_187,Dupli_effect,All duplicates,True duplicates,31.369116097124504,0.00022686173980628543,0.17124282918779746,4.52428283648976e-06
ADS,0.025,1.0,0,0,Bm1_iter2,effect_187,Dupli_effect,SSD,All,6.140195121951219,0.0323771082912455,0.14871463414634142,0.04133406726690473
ADS,0.025,1.0,0,0,Bm1_iter2,effect_187,Dupli_effect,SSD,True duplicates,7.605155994139446,0.058078150892108896,0.1692611824528139,0.01356351054269421
ADS,0.025,1.0,0,0,Bm1_iter2,effect_187,Dupli_effect,WGD,All,24.12545931121393,0.026778418062930423,0.17433469387755102,0.011137838542462575
ADS,0.025,1.0,0,0,Bm1_iter2,effect_187,Dupli_effect,WGD,True duplicates,26.8672212649312,9.38211091273985e-05,0.18961338068796424,8.117660578318465e-05
ADS,0.025,1.0,0,0,Bm1_iter2,effect_2,Dupli_effect,All duplicates,All,27.60959104226513,0.004646616538975194,0.1542220048899755,0.0008377939745473397
ADS,0.025,1.0,0,0,Bm1_iter2,effect_2,Dupli_effect,All duplicates,True duplicates,29.720643532956412,0.006163448355878851,0.1712704829332996,0.00016052178871271965
ADS,0.025,1.0,0,0,Bm1_iter2,effect_2,Dupli_effect,SSD,All,5.997248780487804,0.05516625841248638,0.1565463414634146,0.017593294025077918
ADS,0.025,1.0,0,0,Bm1_iter2,effect_2,Dupli_effect,SSD,True duplicates,7.3004585194844065,0.20453155034349624,0.17989140890532473,0.014167066800637269
ADS,0.025,1.0,0,0,Bm1_iter2,effect_2,Dupli_effect,WGD,All,23.125573464229806,0.02671783270824898,0.17633061224489793,0.002348923539470357
ADS,0.025,1.0,0,0,Bm1_iter2,effect_2,Dupli_effect,WGD,True duplicates,25.145332513571994,0.0009057488043475802,0.18763928884437206,0.00034886978283496956
ADS,0.025,1.0,0,0,Bm1_iter2,effect_225,Dupli_effect,All duplicates,All,28.52327721380643,0.004639198871732515,0.1556066014669926,0.001532270817120382
ADS,0.025,1.0,0,0,Bm1_iter2,effect_225,Dupli_effect,All duplicates,True duplicates,30.30545987077648,0.004624798163170657,0.1706871992362653,6.13709656146765e-05
ADS,0.025,1.0,0,0,Bm1_iter2,effect_225,Dupli_effect,SSD,All,6.192175609756097,0.03520970547965115,0.1536146341463414,0.01997059998603088
ADS,0.025,1.0,0,0,Bm1_iter2,effect_225,Dupli_effect,SSD,True duplicates,7.304350168059985,0.20451339684108386,0.1779873739550116,0.010516293768871853
ADS,0.025,1.0,0,0,Bm1_iter2,effect_225,Dupli_effect,WGD,All,24.213410343294388,0.026714307128708578,0.17529795918367347,0.009260014461856916
ADS,0.025,1.0,0,0,Bm1_iter2,effect_225,Dupli_effect,WGD,True duplicates,25.979217229730878,0.0006935773885386935,0.18928210860315853,0.00019832722589687292
ADS,0.025,1.0,0,0,Bm1_iter3,effect_16,Dupli_effect,All duplicates,All,24.511843976933363,0.004659774011475035,0.1538484107579462,0.0005117344169789602
ADS,0.025,1.0,0,0,Bm1_iter3,effect_16,Dupli_effect,All duplicates,True duplicates,26.632940698100313,0.00203300927423127,0.1668048502706204,0.00010244369115311882
ADS,0.025,1.0,0,0,Bm1_iter3,effect_16,Dupli_effect,SSD,All,5.074595121951219,0.08194850693274859,0.15671951219512192,0.014425415756741385
ADS,0.025,1.0,0,0,Bm1_iter3,effect_16,Dupli_effect,SSD,True duplicates,6.074692516155931,0.17604423217272347,0.17330102147175314,0.04107218348644603
ADS,0.025,1.0,0,0,Bm1_iter3,effect_16,Dupli_effect,WGD,All,22.04838148453713,0.026756728540825028,0.16768775510204081,0.008312573642796342
ADS,0.025,1.0,0,0,Bm1_iter3,effect_16,Dupli_effect,WGD,True duplicates,23.821254603596927,0.0019757740069924197,0.17974664224664222,0.00028184121064251674
ADS,0.025,1.0,0,0,Bm1_iter3,effect_187,Dupli_effect,All duplicates,All,28.885880679638692,0.004641256025846796,0.15351442542787286,0.0036213091233806144
ADS,0.025,1.0,0,0,Bm1_iter3,effect_187,Dupli_effect,All duplicates,True duplicates,30.12947498559099,0.00016850211393720435,0.16944619308098532,3.6810436344240917e-06
ADS,0.025,1.0,0,0,Bm1_iter3,effect_187,Dupli_effect,SSD,All,6.322126829268292,0.029847582451671902,0.15220487804878047,0.028499604969716735
ADS,0.025,1.0,0,0,Bm1_iter3,effect_187,Dupli_effect,SSD,True duplicates,7.171010330489948,0.0599867252310208,0.171122851386686,0.017585001809911724
ADS,0.025,1.0,0,0,Bm1_iter3,effect_187,Dupli_effect,WGD,All,23.96332051418571,0.026778324016478453,0.1718489795918367,0.02107424084956096
ADS,0.025,1.0,0,0,Bm1_iter3,effect_187,Dupli_effect,WGD,True duplicates,25.44497335553316,0.0005099513314967676,0.18747534163050106,9.045986569051307e-05
ADS,0.025,1.0,0,0,Bm1_iter3,effect_2,Dupli_effect,All duplicates,All,28.885880679638692,0.004641256025846796,0.15422836185819067,0.00582132334784306
ADS,0.025,1.0,0,0,Bm1_iter3,effect_2,Dupli_effect,All duplicates,True duplicates,31.221518828872295,0.00015562998284632634,0.17165296642761074,2.294000280843645e-06
ADS,0.025,1.0,0,0,Bm1_iter3,effect_2,Dupli_effect,SSD,All,6.322126829268292,0.029847582451671902,0.15582195121951214,0.039833467895364925
ADS,0.025,1.0,0,0,Bm1_iter3,effect_2,Dupli_effect,SSD,True duplicates,6.870311629302584,0.05930937457776433,0.17469137125466155,0.009128904547315306
ADS,0.025,1.0,0,0,Bm1_iter3,effect_2,Dupli_effect,WGD,All,24.22325524256012,0.026827024121502195,0.17481020408163261,0.015868910329712885
ADS,0.025,1.0,0,0,Bm1_iter3,effect_2,Dupli_effect,WGD,True duplicates,26.61314899933101,0.00014037516810137232,0.18992369355475053,0.0001201632080685535
ADS,0.025,1.0,0,0,Bm1_iter3,effect_225,Dupli_effect,All duplicates,All,28.220018498263308,0.004651316788420144,0.15510293398533004,0.001723581173256093
ADS,0.025,1.0,0,0,Bm1_iter3,effect_225,Dupli_effect,All duplicates,True duplicates,31.380874409021974,0.002522090749486177,0.1694719907414767,1.9180746501432846e-05
ADS,0.025,1.0,0,0,Bm1_iter3,effect_225,Dupli_effect,SSD,All,6.270146341463414,0.03969317169185468,0.1544463414634146,0.02190869397306923
ADS,0.025,1.0,0,0,Bm1_iter3,effect_225,Dupli_effect,SSD,True duplicates,7.4235210564348915,0.17600561131492412,0.1775488439214691,0.013894378655069713
ADS,0.025,1.0,0,0,Bm1_iter3,effect_225,Dupli_effect,WGD,All,23.125573464229806,0.02671783270824898,0.17475714285714286,0.009233605368043933
ADS,0.025,1.0,0,0,Bm1_iter3,effect_225,Dupli_effect,WGD,True duplicates,26.95963836770079,0.0006938613356562358,0.18669178984988014,0.0004016781867008578
ADS,0.025,3.0,0,0,Bm3_iter1,effect_16,Dupli_effect,All duplicates,All,2.6422902923320413,0.23099119386041958,0.07291295843520776,0.07183070681499502
ADS,0.025,3.0,0,0,Bm3_iter1,effect_16,Dupli_effect,All duplicates,True duplicates,8.116204839237943,0.06260848094332305,0.1062755750189917,0.003609195277678007
ADS,0.025,3.0,0,0,Bm3_iter1,effect_16,Dupli_effect,SSD,All,2.1506926829268296,0.3018149122162716,0.09970243902439022,0.1976228315310231
ADS,0.025,3.0,0,0,Bm3_iter1,effect_16,Dupli_effect,SSD,True duplicates,3.8869695811840623,0.1664704936487549,0.1388893311256872,0.02784997326033315
ADS,0.025,3.0,0,0,Bm3_iter1,effect_16,Dupli_effect,WGD,All,1.7582726693155508,0.29332510409103446,0.07990204081632647,0.1735984164652135
ADS,0.025,3.0,0,0,Bm3_iter1,effect_16,Dupli_effect,WGD,True duplicates,5.6843894405061,0.22539405094901083,0.10956022095522275,0.05484415030764703
ADS,0.025,3.0,0,0,Bm3_iter1,effect_187,Dupli_effect,All duplicates,All,3.2981925703299604,0.1028130176372707,0.08372004889975544,0.03999056578858425
ADS,0.025,3.0,0,0,Bm3_iter1,effect_187,Dupli_effect,All duplicates,True duplicates,8.713023152341792,0.035222800312411755,0.11280952193410555,0.0025856909727394193
ADS,0.025,3.0,0,0,Bm3_iter1,effect_187,Dupli_effect,SSD,All,2.8134439024390243,0.2523321666876835,0.10671707317073167,0.17917552111115265
