Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
ADS,0.075,0.5,0,-0.4,Bm05_iter1,corr_04_neg,Mut_correlations_WGD_1e5,All duplicates,All,93.59553527023756,0.004638409270732937,0.2586056234718826,0.0014910762591923853
ADS,0.075,0.5,0,-0.4,Bm05_iter1,corr_04_neg,Mut_correlations_WGD_1e5,All duplicates,True duplicates,74.09763665745957,1.4677025719257082e-08,0.26642341492142485,1.4737327981225016e-14
ADS,0.075,0.5,0,-0.4,Bm05_iter1,corr_04_neg,Mut_correlations_WGD_1e5,SSD,All,40.99311219512195,0.023821341574136734,0.26327560975609754,0.013967574234248801
ADS,0.075,0.5,0,-0.4,Bm05_iter1,corr_04_neg,Mut_correlations_WGD_1e5,SSD,True duplicates,24.45973683576915,0.0007311473796889321,0.26626116581995035,2.588831803272318e-08
ADS,0.075,0.5,0,-0.4,Bm05_iter1,corr_04_neg,Mut_correlations_WGD_1e5,WGD,All,64.00551358342979,0.026712942101815608,0.2675836734693877,0.012305173387790205
ADS,0.075,0.5,0,-0.4,Bm05_iter1,corr_04_neg,Mut_correlations_WGD_1e5,WGD,True duplicates,48.953677987306435,5.564139217743815e-06,0.280228458609505,2.225434906709928e-09
ADS,0.075,0.5,0,-0.4,Bm05_iter2,corr_04_neg,Mut_correlations_WGD_1e5,All duplicates,All,95.02380927764958,0.010481787437672025,0.2564540342298288,0.0007318532328593343
ADS,0.075,0.5,0,-0.4,Bm05_iter2,corr_04_neg,Mut_correlations_WGD_1e5,All duplicates,True duplicates,72.79137471687685,2.4809397644165037e-08,0.2664834559093737,7.542345889213221e-13
ADS,0.075,0.5,0,-0.4,Bm05_iter2,corr_04_neg,Mut_correlations_WGD_1e5,SSD,All,41.928760975609755,0.033362151952032924,0.2606317073170731,0.015044735054190813
ADS,0.075,0.5,0,-0.4,Bm05_iter2,corr_04_neg,Mut_correlations_WGD_1e5,SSD,True duplicates,24.513661469280024,0.0006647241971975642,0.2644862896524756,6.58210171637048e-08
