Model,Mut_sigma,Mut_ratio,Mut_alpha,Mut_corr,Iter,Folder,Set,Comparison,Type,Moods_stat,Moods_p-val,KS_stat,KS_p-val
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_WGD_1e5,All duplicates,All,64.30251273773402,0.004638280972205666,0.2534885085574572,1.003910890805103e-11
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,60.591467960450544,9.931146197240377e-05,0.2623748924535064,2.87408394612686e-13
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_WGD_1e5,SSD,All,21.929268292682927,0.022632616778990314,0.2561121951219512,3.739073023322043e-06
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,20.335339818730944,0.00304964843009035,0.2606528289075844,6.635269654112621e-05
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_WGD_1e5,WGD,All,45.912596896540094,0.026704867463184165,0.2689081632653061,4.0789594736127295e-07
ADS,0.01,0.5,0,0,Bm05_iter1,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,44.59695164712253,0.001795811946918908,0.27996999582782217,1.1111979453112073e-10
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_WGD_1e5,All duplicates,All,59.43109309116666,0.004638280975535888,0.2477361858190709,3.427770504922277e-12
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,57.35817612528751,0.00014674801293398818,0.2544104179009822,9.232405995341519e-13
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_WGD_1e5,SSD,All,19.356234146341464,0.022665660119480468,0.25111219512195115,1.0930262629166695e-05
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,18.248137434446015,0.007372748047330599,0.2546486098393407,0.00010442636964373635
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_WGD_1e5,WGD,All,44.581951821986266,0.026704869923250656,0.2625387755102041,2.1378830796475397e-07
ADS,0.01,0.5,0,0,Bm05_iter2,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,42.743851164506694,0.003842716252123343,0.27062539179494316,8.294831309430146e-10
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_WGD_1e5,All duplicates,All,61.095766148519175,0.004638280971352937,0.25008581907090466,7.162223781074147e-13
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,56.432034744897805,0.00014886393740129098,0.25800026071391097,9.948452039183156e-12
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_WGD_1e5,SSD,All,20.681736585365854,0.022630096725398577,0.25761219512195116,1.3732599173398327e-05
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,18.906797594332296,0.004837353907674106,0.2623781545032615,0.0002473732415029758
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_WGD_1e5,WGD,All,44.89238451624611,0.026704866327168474,0.26208979591836734,8.440396035861617e-08
ADS,0.01,0.5,0,0,Bm05_iter3,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,42.80762541687676,0.0038908066398735484,0.2719080349955326,5.822975245218424e-10
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_WGD_1e5,All duplicates,All,27.482101540646937,0.004640104009280491,0.18961613691931536,5.595439347322695e-09
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,28.781133538631124,4.726259152670624e-05,0.19957039140099184,1.2653472038080688e-06
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_WGD_1e5,SSD,All,6.140195121951219,0.0323771082912455,0.1951536585365853,0.0025812628684682938
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,7.173583128408431,0.020028540269100302,0.20497954160406606,0.01631912267459261
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_WGD_1e5,WGD,All,23.62759802065119,0.026778418062957606,0.20174897959183669,8.485376704827657e-07
ADS,0.01,1.0,0,0,Bm1_iter1,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,25.208737439930097,0.0011950677397522785,0.213951819259814,3.6181110099418915e-07
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_WGD_1e5,All duplicates,All,20.666444989509664,0.005120381672512442,0.17518361858190704,2.8115273086487667e-08
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,23.72306228779141,0.0001512496516858771,0.1834250203748981,5.503349049556651e-06
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_WGD_1e5,SSD,All,5.451453658536585,0.034317754518679425,0.18331219512195118,0.004551374492313268
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,6.065756771557353,0.028577509980302524,0.19493502253675385,0.026962247378209268
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_WGD_1e5,WGD,All,19.100430072895836,0.027914408763854044,0.18449183673469383,9.677867897504548e-06
ADS,0.01,1.0,0,0,Bm1_iter2,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,20.143521872339917,0.001840670031895347,0.19705993796482318,2.169552771999572e-06
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_WGD_1e5,All duplicates,All,27.53660130258848,0.004668076314589364,0.19151149144254279,1.1481703918111383e-09
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,28.524865898546324,9.991408345456561e-05,0.20410800560376277,1.098228616947586e-08
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_WGD_1e5,SSD,All,6.724975609756098,0.0269490391516888,0.19340975609756095,0.0011969051420908693
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,6.870445734192605,0.01625497820263965,0.20494114990169504,0.009827131664472036
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_WGD_1e5,WGD,All,23.76372865096247,0.027213006736277343,0.20470816326530608,5.904069048831452e-06
ADS,0.01,1.0,0,0,Bm1_iter3,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,24.759663865546216,0.001809601305677992,0.21928326886310073,1.3210615575862888e-08
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_WGD_1e5,All duplicates,All,6.488759206532545,0.019062087707419302,0.13417970660146694,0.0010647520741788132
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_WGD_1e5,All duplicates,True duplicates,9.415893947266953,0.035082141599334975,0.15638431347316947,0.0100977258962518
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_WGD_1e5,SSD,All,1.6552536585365851,0.43170690923241345,0.14413414634146338,0.16604459247566095
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_WGD_1e5,SSD,True duplicates,2.804011553273427,0.30941573767275765,0.17080926401369273,0.12202623784112647
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_WGD_1e5,WGD,All,6.866534571740975,0.0835883798249668,0.14199999999999993,0.0005747012763021736
ADS,0.01,2.0,0,0,Bm2_iter1,1_percent,Mut_SD_WGD_1e5,WGD,True duplicates,8.523208949226042,0.02043069582522713,0.16248881131399925,0.0014900458320956647
ADS,0.01,2.0,0,0,Bm2_iter2,1_percent,Mut_SD_WGD_1e5,All duplicates,All,6.130335692294479,0.028899576265354377,0.12894352078239602,0.0011883208685611168
